Fips,Name,Population,Longitude,Latitude,Km2,UrbanDensity,UrbanPercent,Emp-11,Est-11,Pay-11,Emp-21,Est-21,Pay-21,Emp-22,Est-22,Pay-22,Emp-23,Est-23,Pay-23,Emp-42,Est-42,Pay-42,Emp-51,Est-51,Pay-51,Emp-52,Est-52,Pay-52,Emp-53,Est-53,Pay-53,Emp-54,Est-54,Pay-54,Emp-55,Est-55,Pay-55,Emp-56,Est-56,Pay-56,Emp-61,Est-61,Pay-61,Emp-62,Est-62,Pay-62,Emp-71,Est-71,Pay-71,Emp-72,Est-72,Pay-72,Emp-81,Est-81,Pay-81,Emp-99,Est-99,Pay-99
38041,Hettinger County,3,-102.42,46.44,2936.03,0.0,0.0,,,,,,,,,,47.0,6.0,3711.0,32.0,7.0,1451.0,17.0,3.0,131.0,42.0,11.0,2569.0,,,,30.0,7.0,2444.0,,,,19.0,4.0,191.0,,,,72.0,7.0,2746.0,2.0,3.0,143.0,22.0,5.0,293.0,27.0,9.0,633.0,,,
38043,Kidder County,2,-99.8,46.96,3711.03,0.0,0.0,,,,,,,,,,11.0,8.0,701.0,25.0,7.0,1098.0,,,,36.0,4.0,1652.0,,,,35.0,7.0,1057.0,,,,,,,,,,90.0,5.0,1317.0,,,,42.0,10.0,760.0,23.0,7.0,358.0,,,
38045,LaMoure County,4,-98.53,46.45,2980.96,0.0,0.5,7.0,3.0,290.0,,,,,,,22.0,9.0,743.0,193.0,26.0,11575.0,16.0,3.0,431.0,129.0,16.0,6370.0,,,,7.0,3.0,265.0,,,,,,,,,,169.0,12.0,4249.0,13.0,3.0,128.0,63.0,15.0,612.0,58.0,19.0,993.0,,,
38047,Logan County,2,-89.38,40.11,2618.28,0.0,0.0,,,,,,,,,,27.0,10.0,1497.0,92.0,9.0,3737.0,,,,29.0,6.0,1346.0,,,,,,,,,,,,,,,,91.0,7.0,2149.0,,,,45.0,5.0,284.0,62.0,10.0,1092.0,,,
38049,McHenry County,6,-88.46,42.33,4950.99,0.0,0.21,,,,,,,,,,32.0,18.0,1969.0,216.0,12.0,13569.0,,,,45.0,15.0,2598.0,9.0,4.0,88.0,18.0,9.0,1144.0,,,,8.0,3.0,410.0,,,,127.0,9.0,2589.0,,,,23.0,8.0,230.0,33.0,13.0,1145.0,,,
38051,McIntosh County,3,-81.39,31.5,2575.2,0.0,0.0,,,,,,,,,,22.0,11.0,881.0,103.0,13.0,4672.0,,,,48.0,10.0,2531.0,,,,20.0,6.0,833.0,,,,,,,,,,310.0,9.0,11130.0,6.0,4.0,44.0,30.0,9.0,427.0,49.0,17.0,1142.0,,,
38053,McKenzie County,13,-103.47,47.77,7407.87,0.0,0.72,,,,1587.0,80.0,180713.0,80.0,7.0,7360.0,1132.0,80.0,122188.0,426.0,28.0,40434.0,42.0,6.0,2521.0,121.0,14.0,10025.0,353.0,28.0,22466.0,335.0,43.0,28708.0,,,,339.0,27.0,19204.0,,,,346.0,14.0,12328.0,8.0,5.0,115.0,644.0,42.0,16931.0,213.0,49.0,9899.0,,,
38055,McLean County,10,-88.82,40.46,6029.32,0.0,0.0,,,,480.0,3.0,59142.0,312.0,5.0,37454.0,76.0,37.0,5086.0,178.0,20.0,10991.0,,,,144.0,24.0,7364.0,2.0,3.0,31.0,43.0,10.0,1922.0,,,,42.0,6.0,936.0,,,,388.0,17.0,13326.0,13.0,4.0,422.0,211.0,28.0,3231.0,115.0,32.0,1736.0,,,
38057,Mercer County,8,-80.3,41.33,2881.33,0.0,0.0,,,,621.0,9.0,77284.0,542.0,7.0,53392.0,104.0,16.0,5653.0,67.0,11.0,3572.0,122.0,5.0,6215.0,122.0,22.0,5624.0,6.0,4.0,471.0,46.0,9.0,2198.0,,,,32.0,10.0,1374.0,,,,506.0,22.0,19848.0,22.0,6.0,329.0,233.0,29.0,3109.0,125.0,31.0,3021.0,,,
38059,Morton County,31,-101.81,37.2,5037.67,0.01,0.12,,,,83.0,6.0,7901.0,90.0,6.0,9201.0,676.0,140.0,48032.0,456.0,49.0,22827.0,306.0,10.0,10826.0,387.0,54.0,26204.0,111.0,39.0,4684.0,1491.0,77.0,108217.0,,,,450.0,45.0,18903.0,166.0,6.0,2647.0,1745.0,67.0,62855.0,213.0,14.0,2546.0,779.0,60.0,13362.0,460.0,102.0,16507.0,,,
38061,Mountrail County,10,-102.36,48.23,5028.55,0.0,0.11,,,,570.0,33.0,65964.0,41.0,5.0,3888.0,552.0,42.0,41578.0,213.0,21.0,14841.0,77.0,4.0,6372.0,93.0,25.0,7184.0,21.0,9.0,370.0,138.0,26.0,14398.0,,,,160.0,15.0,10845.0,,,,260.0,18.0,9457.0,15.0,5.0,434.0,310.0,38.0,7528.0,331.0,36.0,15641.0,,,
38063,Nelson County,3,-85.47,37.81,2612.99,0.0,0.0,,,,,,,,,,28.0,13.0,1373.0,134.0,12.0,8103.0,,,,55.0,16.0,3108.0,13.0,3.0,160.0,8.0,3.0,480.0,,,,4.0,4.0,39.0,,,,237.0,13.0,7045.0,,,,49.0,13.0,635.0,28.0,18.0,576.0,,,
38065,Oliver County,2,-101.35,47.11,1893.55,0.0,0.0,,,,,,,211.0,4.0,21587.0,25.0,5.0,1443.0,,,,,,,12.0,3.0,557.0,,,,8.0,3.0,179.0,,,,,,,,,,16.0,4.0,499.0,7.0,5.0,330.0,,,,27.0,8.0,292.0,,,
38067,Pembina County,7,-97.55,48.75,2904.11,0.0,0.0,8.0,4.0,310.0,,,,,,,116.0,28.0,11777.0,343.0,34.0,16819.0,7.0,3.0,215.0,114.0,19.0,6079.0,4.0,3.0,73.0,33.0,14.0,1426.0,,,,27.0,10.0,513.0,,,,392.0,17.0,10799.0,39.0,11.0,466.0,101.0,13.0,903.0,62.0,29.0,1328.0,,,
38069,Pierce County,4,-82.24,31.34,2803.25,0.0,0.0,6.0,3.0,394.0,,,,34.0,3.0,2786.0,64.0,23.0,3078.0,170.0,16.0,9728.0,,,,89.0,14.0,5736.0,8.0,3.0,42.0,58.0,12.0,3013.0,,,,12.0,5.0,258.0,33.0,5.0,487.0,340.0,10.0,13887.0,24.0,5.0,430.0,116.0,13.0,1636.0,67.0,20.0,1554.0,,,
38071,Ramsey County,12,-93.09,45.02,3369.75,0.0,0.01,16.0,6.0,1320.0,,,,46.0,3.0,4087.0,139.0,47.0,6471.0,354.0,31.0,20304.0,128.0,7.0,6200.0,285.0,34.0,19093.0,254.0,9.0,7710.0,78.0,19.0,3351.0,,,,84.0,18.0,2830.0,52.0,5.0,977.0,847.0,63.0,35677.0,44.0,8.0,1475.0,605.0,50.0,9707.0,160.0,44.0,3365.0,,,
38073,Ransom County,5,-97.69,46.45,2237.27,0.0,0.0,,,,,,,,,,48.0,16.0,3716.0,121.0,12.0,8317.0,,,,69.0,14.0,3957.0,9.0,10.0,328.0,59.0,17.0,1827.0,,,,57.0,4.0,1395.0,,,,371.0,32.0,13474.0,8.0,3.0,115.0,105.0,19.0,1370.0,129.0,27.0,1876.0,,,
38075,Renville County,2,-94.91,44.72,2312.75,0.0,0.0,,,,15.0,10.0,952.0,,,,34.0,13.0,1620.0,99.0,14.0,6729.0,,,,31.0,9.0,1514.0,2.0,3.0,6.0,10.0,7.0,426.0,,,,,,,,,,87.0,6.0,2255.0,,,,56.0,13.0,724.0,9.0,7.0,381.0,,,
38077,Richland County,16,-88.09,38.71,3744.33,0.0,0.01,66.0,3.0,3900.0,5.0,3.0,608.0,,,,355.0,71.0,18136.0,265.0,40.0,15749.0,,,,212.0,43.0,12087.0,43.0,11.0,990.0,127.0,30.0,5966.0,,,,169.0,21.0,6391.0,167.0,3.0,4323.0,635.0,43.0,24094.0,18.0,10.0,510.0,989.0,39.0,21100.0,211.0,62.0,4587.0,,,
38079,Rolette County,15,-99.84,48.74,2433.26,0.01,0.06,,,,,,,,,,206.0,31.0,5543.0,42.0,10.0,2442.0,38.0,4.0,766.0,111.0,13.0,5778.0,,,,24.0,7.0,490.0,,,,64.0,6.0,755.0,,,,611.0,20.0,44702.0,17.0,7.0,600.0,461.0,22.0,11953.0,32.0,16.0,777.0,,,
38081,Sargent County,4,-97.63,46.11,2246.76,0.0,0.0,,,,,,,,,,66.0,11.0,4223.0,116.0,14.0,6460.0,,,,37.0,8.0,1859.0,5.0,4.0,92.0,11.0,7.0,575.0,,,,14.0,3.0,527.0,,,,86.0,9.0,2621.0,19.0,4.0,315.0,44.0,14.0,738.0,45.0,12.0,1794.0,,,
