Fips,Name,Population,Longitude,Latitude,Km2,UrbanDensity,UrbanPercent,Emp-11,Est-11,Pay-11,Emp-21,Est-21,Pay-21,Emp-22,Est-22,Pay-22,Emp-23,Est-23,Pay-23,Emp-42,Est-42,Pay-42,Emp-51,Est-51,Pay-51,Emp-52,Est-52,Pay-52,Emp-53,Est-53,Pay-53,Emp-54,Est-54,Pay-54,Emp-55,Est-55,Pay-55,Emp-56,Est-56,Pay-56,Emp-61,Est-61,Pay-61,Emp-62,Est-62,Pay-62,Emp-71,Est-71,Pay-71,Emp-72,Est-72,Pay-72,Emp-81,Est-81,Pay-81,Emp-99,Est-99,Pay-99
45001,Abbeville County,25,-82.44,34.23,1326.29,0.02,0.21,21.0,3.0,722.0,,,,,,,143.0,46.0,6012.0,68.0,6.0,5361.0,96.0,5.0,7041.0,82.0,21.0,3037.0,8.0,3.0,258.0,32.0,13.0,1277.0,,,,80.0,17.0,3438.0,241.0,6.0,7519.0,455.0,29.0,19159.0,,,,344.0,29.0,5466.0,249.0,50.0,4369.0,,,
45003,Aiken County,168,-81.62,33.57,2797.63,0.06,0.52,159.0,29.0,5262.0,96.0,6.0,7036.0,438.0,18.0,29861.0,2498.0,250.0,136072.0,713.0,78.0,32323.0,520.0,33.0,23494.0,1057.0,197.0,58153.0,377.0,115.0,14992.0,2067.0,237.0,166991.0,153.0,6.0,9001.0,8536.0,151.0,706918.0,501.0,27.0,12999.0,6452.0,325.0,253733.0,935.0,60.0,16562.0,5893.0,296.0,87275.0,2387.0,345.0,62019.0,5.0,4.0,172.0
45005,Allendale County,9,-81.34,32.96,1068.66,0.01,0.0,102.0,8.0,4373.0,,,,,,,32.0,4.0,856.0,54.0,8.0,2760.0,10.0,5.0,427.0,39.0,8.0,1660.0,6.0,3.0,125.0,33.0,7.0,1884.0,,,,,,,,,,383.0,15.0,14599.0,,,,57.0,7.0,751.0,19.0,9.0,389.0,,,
45007,Anderson County,198,-95.63,31.78,1957.48,0.1,0.58,30.0,12.0,1011.0,,,,174.0,10.0,13628.0,2400.0,337.0,118597.0,3535.0,184.0,202389.0,492.0,47.0,20372.0,2096.0,262.0,370078.0,496.0,160.0,19325.0,2993.0,284.0,167352.0,443.0,16.0,59414.0,2886.0,198.0,88523.0,1399.0,28.0,34454.0,9452.0,390.0,436422.0,676.0,47.0,8546.0,7575.0,396.0,116399.0,2975.0,457.0,78253.0,8.0,4.0,142.0
45009,Bamberg County,14,-81.02,33.21,1024.2,0.01,0.15,56.0,12.0,3151.0,,,,76.0,3.0,5914.0,37.0,8.0,1477.0,49.0,8.0,2650.0,15.0,5.0,547.0,74.0,15.0,3626.0,,,,68.0,14.0,2504.0,,,,47.0,4.0,1601.0,326.0,4.0,10673.0,475.0,38.0,13392.0,,,,205.0,26.0,2908.0,142.0,41.0,2291.0,,,
45011,Barnwell County,21,-81.42,33.26,1443.52,0.01,0.3,24.0,6.0,843.0,,,,27.0,4.0,2072.0,157.0,18.0,6259.0,53.0,5.0,1515.0,49.0,8.0,2184.0,116.0,24.0,4018.0,12.0,5.0,295.0,101.0,24.0,4209.0,,,,115.0,19.0,4742.0,43.0,3.0,910.0,381.0,27.0,13827.0,51.0,3.0,432.0,521.0,32.0,6880.0,341.0,58.0,7123.0,,,
45013,Beaufort County,186,-76.89,35.47,1833.34,0.1,0.41,11.0,9.0,660.0,,,,118.0,6.0,8532.0,3340.0,683.0,160322.0,828.0,159.0,42345.0,520.0,72.0,29466.0,1750.0,281.0,143309.0,2402.0,533.0,126603.0,2818.0,641.0,188973.0,256.0,20.0,20112.0,3834.0,406.0,129737.0,957.0,67.0,33544.0,8361.0,502.0,385144.0,2964.0,129.0,70361.0,13928.0,582.0,310914.0,3924.0,454.0,128098.0,15.0,10.0,681.0
45015,Berkeley County,215,-78.04,39.45,3195.68,0.07,0.79,43.0,10.0,1793.0,29.0,3.0,2170.0,346.0,8.0,26713.0,3808.0,466.0,202924.0,3121.0,165.0,225776.0,6000.0,48.0,609940.0,1247.0,217.0,71853.0,655.0,193.0,38509.0,5152.0,372.0,448942.0,254.0,14.0,14795.0,2894.0,208.0,107393.0,584.0,32.0,17226.0,3356.0,282.0,149847.0,872.0,40.0,19092.0,5794.0,302.0,93953.0,2127.0,345.0,60156.0,9.0,5.0,44.0
45017,Calhoun County,15,-96.67,28.5,1016.39,0.01,0.49,90.0,5.0,2669.0,,,,69.0,4.0,5747.0,483.0,35.0,20936.0,214.0,10.0,10944.0,,,,33.0,12.0,1622.0,16.0,6.0,1126.0,17.0,8.0,773.0,,,,240.0,12.0,10556.0,,,,348.0,22.0,8558.0,,,,74.0,10.0,1050.0,110.0,36.0,1880.0,,,
45019,Charleston County,401,-79.8,32.82,2653.58,0.15,0.46,38.0,19.0,1948.0,,,,553.0,31.0,43680.0,11284.0,1247.0,687077.0,6780.0,547.0,426107.0,4455.0,261.0,294785.0,6748.0,838.0,594012.0,4740.0,1113.0,257178.0,16642.0,2027.0,1338132.0,2919.0,66.0,306012.0,18202.0,826.0,582304.0,3882.0,201.0,129765.0,26188.0,1442.0,1575138.0,4648.0,302.0,99344.0,37703.0,1486.0,838377.0,9697.0,1235.0,328135.0,39.0,20.0,506.0
45021,Cherokee County,57,-95.18,31.84,1029.9,0.06,0.6,5.0,5.0,348.0,29.0,3.0,1657.0,67.0,5.0,5110.0,813.0,83.0,40150.0,248.0,26.0,16791.0,175.0,12.0,3880.0,261.0,59.0,12485.0,75.0,33.0,3117.0,179.0,40.0,7697.0,149.0,4.0,8662.0,990.0,24.0,23641.0,644.0,5.0,15126.0,1194.0,73.0,38388.0,189.0,18.0,4824.0,1920.0,88.0,26220.0,705.0,146.0,15226.0,,,
45023,Chester County,32,-75.77,39.98,1518.21,0.02,0.18,50.0,7.0,3328.0,,,,12.0,6.0,1310.0,329.0,45.0,18755.0,117.0,18.0,12385.0,207.0,9.0,16973.0,128.0,28.0,5706.0,27.0,14.0,1155.0,138.0,31.0,5117.0,,,,154.0,26.0,5504.0,36.0,3.0,631.0,589.0,42.0,20245.0,81.0,6.0,2675.0,650.0,48.0,10016.0,292.0,86.0,6610.0,,,
45025,Chesterfield County,46,-77.58,37.39,2087.21,0.02,0.49,155.0,8.0,4321.0,142.0,7.0,6474.0,171.0,6.0,13038.0,831.0,54.0,40501.0,528.0,26.0,23512.0,86.0,6.0,4751.0,218.0,52.0,8771.0,54.0,17.0,1820.0,85.0,26.0,3177.0,,,,359.0,18.0,10221.0,,,,1647.0,92.0,47683.0,35.0,8.0,642.0,1033.0,64.0,12235.0,311.0,84.0,6673.0,4.0,4.0,127.0
45027,Clarendon County,34,-80.23,33.67,1801.63,0.02,0.18,241.0,12.0,6308.0,,,,,,,106.0,30.0,3248.0,98.0,15.0,4622.0,,,,223.0,41.0,9675.0,27.0,14.0,607.0,88.0,25.0,3196.0,,,,61.0,18.0,1196.0,113.0,8.0,2071.0,1311.0,42.0,40758.0,76.0,8.0,1573.0,811.0,56.0,9762.0,314.0,61.0,6661.0,,,
45029,Colleton County,38,-80.68,32.86,2786.26,0.01,0.21,340.0,31.0,15214.0,,,,62.0,4.0,5365.0,519.0,71.0,22206.0,200.0,29.0,9748.0,114.0,11.0,7936.0,246.0,54.0,12073.0,110.0,44.0,4132.0,178.0,48.0,18356.0,,,,221.0,35.0,8507.0,93.0,5.0,2178.0,1247.0,73.0,58345.0,118.0,12.0,3983.0,1362.0,75.0,25951.0,249.0,67.0,5074.0,1.0,3.0,52.0
45031,Darlington County,67,-79.94,34.36,1466.48,0.05,0.27,67.0,9.0,3519.0,,,,840.0,8.0,98473.0,908.0,69.0,37338.0,737.0,60.0,52321.0,78.0,11.0,3598.0,386.0,75.0,17830.0,86.0,34.0,2592.0,240.0,61.0,10496.0,1490.0,11.0,244145.0,605.0,42.0,18136.0,494.0,8.0,12937.0,2962.0,111.0,101737.0,302.0,16.0,4882.0,1562.0,95.0,21363.0,781.0,145.0,17141.0,4.0,4.0,73.0
45033,Dillon County,31,-79.39,34.4,1052.88,0.03,0.31,24.0,4.0,908.0,,,,17.0,3.0,670.0,113.0,23.0,4084.0,234.0,13.0,11432.0,31.0,4.0,1846.0,152.0,44.0,6490.0,37.0,21.0,1269.0,134.0,22.0,3248.0,,,,12.0,8.0,538.0,,,,1053.0,48.0,45858.0,,,,829.0,52.0,10380.0,275.0,59.0,8057.0,4.0,3.0,48.0
45035,Dorchester County,158,-76.1,38.39,1479.4,0.11,0.37,101.0,12.0,10230.0,,,,87.0,8.0,6686.0,1868.0,309.0,87084.0,950.0,94.0,51224.0,320.0,31.0,19041.0,674.0,165.0,33516.0,441.0,156.0,18949.0,1235.0,223.0,64636.0,105.0,5.0,7752.0,2599.0,159.0,78264.0,404.0,24.0,9985.0,4257.0,272.0,170896.0,1058.0,40.0,13758.0,4467.0,227.0,71277.0,1722.0,268.0,48539.0,2.0,3.0,35.0
45037,Edgefield County,27,-81.98,33.76,1313.31,0.02,0.26,98.0,9.0,6879.0,,,,38.0,3.0,3134.0,203.0,37.0,8494.0,573.0,11.0,39878.0,14.0,4.0,371.0,48.0,17.0,1843.0,20.0,11.0,827.0,68.0,18.0,2843.0,,,,202.0,21.0,5885.0,54.0,3.0,1226.0,469.0,26.0,11429.0,55.0,3.0,1076.0,234.0,24.0,3094.0,385.0,43.0,17394.0,,,
45039,Fairfield County,23,-82.64,39.79,1838.57,0.01,0.14,18.0,3.0,500.0,,,,717.0,11.0,78221.0,150.0,27.0,6888.0,171.0,11.0,11546.0,26.0,4.0,2235.0,52.0,18.0,1934.0,12.0,8.0,682.0,1632.0,37.0,148914.0,,,,296.0,16.0,12539.0,91.0,5.0,2248.0,532.0,26.0,14612.0,,,,200.0,21.0,3073.0,166.0,43.0,2722.0,,,
45041,Florence County,138,-88.39,45.84,2083.11,0.07,0.32,164.0,24.0,7005.0,,,,171.0,12.0,14838.0,1597.0,194.0,74401.0,3121.0,168.0,164967.0,371.0,41.0,20947.0,2520.0,239.0,128252.0,496.0,119.0,22237.0,2098.0,207.0,121837.0,158.0,14.0,14340.0,3527.0,152.0,112694.0,441.0,30.0,8545.0,24009.0,402.0,1245785.0,495.0,32.0,7711.0,7231.0,323.0,110799.0,2742.0,333.0,74968.0,17.0,5.0,95.0
45043,Georgetown County,62,-79.33,33.44,2258.5,0.03,0.37,377.0,28.0,17732.0,,,,10.0,3.0,637.0,1088.0,168.0,54193.0,423.0,47.0,24061.0,107.0,17.0,5028.0,490.0,102.0,26424.0,617.0,111.0,22543.0,820.0,176.0,46934.0,,,,834.0,99.0,30094.0,151.0,16.0,3091.0,3639.0,259.0,197528.0,1261.0,49.0,26403.0,3270.0,162.0,65484.0,1137.0,196.0,27152.0,,,
45045,Greenville County,507,-82.34,34.86,2058.7,0.25,0.73,67.0,16.0,1861.0,79.0,3.0,4411.0,577.0,23.0,55569.0,10480.0,1239.0,615730.0,12748.0,781.0,859625.0,6882.0,230.0,388906.0,9930.0,1018.0,715044.0,3231.0,836.0,151464.0,19044.0,1810.0,1322897.0,10271.0,121.0,627599.0,24947.0,820.0,804073.0,7174.0,215.0,238534.0,32009.0,1336.0,1490153.0,3936.0,199.0,71951.0,26426.0,1254.0,466271.0,11479.0,1303.0,343959.0,24.0,17.0,691.0
45047,Greenwood County,70,-96.25,37.87,1198.86,0.06,0.8,45.0,9.0,2493.0,,,,32.0,3.0,3288.0,975.0,106.0,48152.0,747.0,56.0,34648.0,229.0,16.0,8081.0,477.0,87.0,25961.0,195.0,55.0,6160.0,612.0,98.0,32719.0,140.0,10.0,16250.0,880.0,55.0,26078.0,133.0,7.0,2388.0,4783.0,129.0,219661.0,172.0,16.0,2721.0,2833.0,133.0,40443.0,993.0,154.0,21064.0,,,
45049,Hampton County,20,-81.12,32.79,1457.04,0.01,0.16,143.0,15.0,8247.0,,,,23.0,5.0,2217.0,149.0,30.0,7022.0,306.0,7.0,16460.0,15.0,3.0,735.0,120.0,24.0,5375.0,13.0,5.0,716.0,106.0,12.0,15334.0,,,,48.0,12.0,1654.0,42.0,3.0,765.0,658.0,26.0,20290.0,,,,274.0,31.0,3788.0,162.0,35.0,3786.0,3.0,3.0,46.0
45051,Horry County,332,-78.96,33.92,2967.13,0.11,0.72,72.0,17.0,2789.0,63.0,6.0,2124.0,224.0,11.0,16318.0,7492.0,1009.0,324408.0,3086.0,284.0,139715.0,2315.0,126.0,110574.0,2925.0,488.0,184177.0,4714.0,773.0,175360.0,3783.0,800.0,185697.0,1001.0,32.0,61952.0,4981.0,569.0,141357.0,671.0,67.0,18836.0,13207.0,836.0,688453.0,5311.0,251.0,110750.0,31311.0,1329.0,682775.0,4220.0,738.0,114683.0,14.0,8.0,520.0
45053,Jasper County,29,-94.0,30.75,1741.21,0.02,0.68,47.0,7.0,2220.0,,,,147.0,5.0,14391.0,1235.0,142.0,63289.0,502.0,33.0,29678.0,284.0,4.0,19518.0,100.0,26.0,6505.0,98.0,24.0,4108.0,258.0,41.0,12928.0,,,,828.0,69.0,31125.0,170.0,8.0,6392.0,1006.0,46.0,39991.0,91.0,5.0,3099.0,896.0,72.0,15044.0,324.0,62.0,9409.0,,,
45055,Kershaw County,65,-80.57,34.33,1917.28,0.03,0.37,83.0,17.0,2629.0,49.0,3.0,3760.0,79.0,8.0,4978.0,863.0,142.0,37948.0,90.0,26.0,5979.0,1508.0,15.0,67857.0,385.0,83.0,17754.0,85.0,34.0,2846.0,397.0,66.0,15762.0,248.0,3.0,3934.0,732.0,64.0,15161.0,219.0,19.0,5875.0,2197.0,106.0,94716.0,251.0,26.0,5813.0,1485.0,97.0,21143.0,759.0,131.0,19744.0,,,
45057,Lancaster County,92,-76.24,40.08,1437.72,0.06,0.69,28.0,7.0,1316.0,465.0,3.0,37950.0,45.0,3.0,3278.0,886.0,123.0,45502.0,1631.0,64.0,97851.0,495.0,29.0,59352.0,1264.0,119.0,100812.0,139.0,70.0,6229.0,623.0,119.0,42900.0,2111.0,9.0,217176.0,914.0,71.0,31962.0,68.0,6.0,1056.0,2961.0,177.0,131085.0,149.0,16.0,2162.0,2578.0,139.0,38246.0,1317.0,213.0,78992.0,8.0,5.0,143.0
45059,Laurens County,67,-82.94,32.42,1874.77,0.04,0.36,57.0,9.0,2718.0,32.0,3.0,1560.0,108.0,4.0,8500.0,504.0,71.0,22656.0,250.0,35.0,15005.0,116.0,15.0,4591.0,277.0,63.0,12243.0,67.0,23.0,1841.0,479.0,59.0,18815.0,,,,527.0,36.0,13761.0,753.0,7.0,21636.0,1813.0,76.0,65733.0,114.0,12.0,1727.0,1439.0,92.0,18274.0,591.0,132.0,13745.0,2.0,3.0,45.0
45061,Lee County,17,-96.96,30.3,1064.93,0.02,0.13,18.0,3.0,634.0,,,,,,,62.0,11.0,2929.0,93.0,11.0,4699.0,,,,59.0,13.0,2097.0,,,,44.0,12.0,923.0,,,,115.0,10.0,5461.0,98.0,3.0,2516.0,308.0,15.0,13955.0,,,,250.0,17.0,3345.0,279.0,30.0,6310.0,,,
45063,Lexington County,290,-81.28,33.9,1962.36,0.15,0.71,91.0,19.0,4187.0,108.0,9.0,7594.0,1563.0,50.0,138125.0,6496.0,748.0,339215.0,6630.0,351.0,406718.0,2971.0,93.0,143076.0,3252.0,491.0,202128.0,1307.0,330.0,54810.0,3393.0,620.0,190669.0,1508.0,44.0,132993.0,8221.0,390.0,253141.0,739.0,78.0,20110.0,14149.0,618.0,595128.0,975.0,86.0,18033.0,13366.0,588.0,188754.0,5818.0,766.0,193808.0,5.0,6.0,225.0
45065,McCormick County,10,-82.28,33.88,1020.08,0.01,0.44,,,,,,,,,,60.0,9.0,2084.0,,,,,,,11.0,6.0,376.0,12.0,3.0,546.0,,,,,,,44.0,6.0,1692.0,,,,257.0,8.0,5929.0,,,,86.0,11.0,949.0,165.0,14.0,3593.0,,,
45067,Marion County,31,-94.34,32.79,1279.88,0.02,0.25,31.0,7.0,2166.0,,,,26.0,4.0,2482.0,159.0,30.0,5239.0,346.0,24.0,14602.0,20.0,6.0,1200.0,314.0,45.0,14774.0,44.0,15.0,1344.0,66.0,21.0,2493.0,37.0,4.0,2926.0,446.0,16.0,9985.0,,,,957.0,65.0,31686.0,23.0,4.0,310.0,835.0,47.0,10864.0,288.0,56.0,5208.0,,,
45069,Marlboro County,27,-79.67,34.58,1256.9,0.02,0.23,21.0,4.0,1927.0,,,,36.0,3.0,3303.0,123.0,13.0,8909.0,101.0,11.0,3202.0,37.0,6.0,1225.0,94.0,30.0,3609.0,39.0,13.0,3212.0,39.0,12.0,1341.0,,,,,,,51.0,4.0,1109.0,1067.0,39.0,25791.0,,,,373.0,29.0,5093.0,164.0,29.0,2770.0,,,
