Fips,Name,Population,Longitude,Latitude,Km2,UrbanDensity,UrbanPercent,Emp-1133,Est-1133,Pay-1133,Emp-1151,Est-1151,Pay-1151,Emp-1152,Est-1152,Pay-1152,Emp-2111,Est-2111,Pay-2111,Emp-2123,Est-2123,Pay-2123,Emp-2211,Est-2211,Pay-2211,Emp-2213,Est-2213,Pay-2213,Emp-2361,Est-2361,Pay-2361,Emp-2362,Est-2362,Pay-2362,Emp-2371,Est-2371,Pay-2371,Emp-2372,Est-2372,Pay-2372,Emp-2373,Est-2373,Pay-2373,Emp-2379,Est-2379,Pay-2379,Emp-2381,Est-2381,Pay-2381,Emp-2382,Est-2382,Pay-2382,Emp-2383,Est-2383,Pay-2383,Emp-2389,Est-2389,Pay-2389,Emp-3111,Est-3111,Pay-3111,Emp-3116,Est-3116,Pay-3116,Emp-3118,Est-3118,Pay-3118,Emp-3121,Est-3121,Pay-3121,Emp-3149,Est-3149,Pay-3149,Emp-3211,Est-3211,Pay-3211,Emp-3219,Est-3219,Pay-3219,Emp-3222,Est-3222,Pay-3222,Emp-3231,Est-3231,Pay-3231,Emp-3251,Est-3251,Pay-3251,Emp-3256,Est-3256,Pay-3256,Emp-3261,Est-3261,Pay-3261,Emp-3273,Est-3273,Pay-3273,Emp-3279,Est-3279,Pay-3279,Emp-3323,Est-3323,Pay-3323,Emp-3327,Est-3327,Pay-3327,Emp-3328,Est-3328,Pay-3328,Emp-3329,Est-3329,Pay-3329,Emp-3331,Est-3331,Pay-3331,Emp-3335,Est-3335,Pay-3335,Emp-3336,Est-3336,Pay-3336,Emp-3339,Est-3339,Pay-3339,Emp-3344,Est-3344,Pay-3344,Emp-3353,Est-3353,Pay-3353,Emp-3362,Est-3362,Pay-3362,Emp-3371,Est-3371,Pay-3371,Emp-3391,Est-3391,Pay-3391,Emp-3399,Est-3399,Pay-3399,Emp-4231,Est-4231,Pay-4231,Emp-4232,Est-4232,Pay-4232,Emp-4233,Est-4233,Pay-4233,Emp-4234,Est-4234,Pay-4234,Emp-4235,Est-4235,Pay-4235,Emp-4236,Est-4236,Pay-4236,Emp-4237,Est-4237,Pay-4237,Emp-4238,Est-4238,Pay-4238,Emp-4239,Est-4239,Pay-4239,Emp-4241,Est-4241,Pay-4241,Emp-4242,Est-4242,Pay-4242,Emp-4243,Est-4243,Pay-4243,Emp-4244,Est-4244,Pay-4244,Emp-4245,Est-4245,Pay-4245,Emp-4246,Est-4246,Pay-4246,Emp-4247,Est-4247,Pay-4247,Emp-4248,Est-4248,Pay-4248,Emp-4249,Est-4249,Pay-4249,Emp-4251,Est-4251,Pay-4251,Emp-4411,Est-4411,Pay-4411,Emp-4412,Est-4412,Pay-4412,Emp-4413,Est-4413,Pay-4413,Emp-4421,Est-4421,Pay-4421,Emp-4422,Est-4422,Pay-4422,Emp-4431,Est-4431,Pay-4431,Emp-4441,Est-4441,Pay-4441,Emp-4442,Est-4442,Pay-4442,Emp-4451,Est-4451,Pay-4451,Emp-4452,Est-4452,Pay-4452,Emp-4453,Est-4453,Pay-4453,Emp-4461,Est-4461,Pay-4461,Emp-4471,Est-4471,Pay-4471,Emp-4481,Est-4481,Pay-4481,Emp-4482,Est-4482,Pay-4482,Emp-4483,Est-4483,Pay-4483,Emp-4511,Est-4511,Pay-4511,Emp-4512,Est-4512,Pay-4512,Emp-4522,Est-4522,Pay-4522,Emp-4523,Est-4523,Pay-4523,Emp-4531,Est-4531,Pay-4531,Emp-4532,Est-4532,Pay-4532,Emp-4533,Est-4533,Pay-4533,Emp-4539,Est-4539,Pay-4539,Emp-4541,Est-4541,Pay-4541,Emp-4542,Est-4542,Pay-4542,Emp-4543,Est-4543,Pay-4543,Emp-4811,Est-4811,Pay-4811,Emp-4812,Est-4812,Pay-4812,Emp-4841,Est-4841,Pay-4841,Emp-4842,Est-4842,Pay-4842,Emp-4853,Est-4853,Pay-4853,Emp-4855,Est-4855,Pay-4855,Emp-4859,Est-4859,Pay-4859,Emp-4871,Est-4871,Pay-4871,Emp-4879,Est-4879,Pay-4879,Emp-4881,Est-4881,Pay-4881,Emp-4882,Est-4882,Pay-4882,Emp-4884,Est-4884,Pay-4884,Emp-4885,Est-4885,Pay-4885,Emp-4921,Est-4921,Pay-4921,Emp-4922,Est-4922,Pay-4922,Emp-4931,Est-4931,Pay-4931,Emp-5111,Est-5111,Pay-5111,Emp-5112,Est-5112,Pay-5112,Emp-5121,Est-5121,Pay-5121,Emp-5151,Est-5151,Pay-5151,Emp-5173,Est-5173,Pay-5173,Emp-5182,Est-5182,Pay-5182,Emp-5191,Est-5191,Pay-5191,Emp-5221,Est-5221,Pay-5221,Emp-5222,Est-5222,Pay-5222,Emp-5223,Est-5223,Pay-5223,Emp-5231,Est-5231,Pay-5231,Emp-5239,Est-5239,Pay-5239,Emp-5241,Est-5241,Pay-5241,Emp-5242,Est-5242,Pay-5242,Emp-5311,Est-5311,Pay-5311,Emp-5312,Est-5312,Pay-5312,Emp-5313,Est-5313,Pay-5313,Emp-5321,Est-5321,Pay-5321,Emp-5322,Est-5322,Pay-5322,Emp-5323,Est-5323,Pay-5323,Emp-5324,Est-5324,Pay-5324,Emp-5411,Est-5411,Pay-5411,Emp-5412,Est-5412,Pay-5412,Emp-5413,Est-5413,Pay-5413,Emp-5414,Est-5414,Pay-5414,Emp-5415,Est-5415,Pay-5415,Emp-5416,Est-5416,Pay-5416,Emp-5417,Est-5417,Pay-5417,Emp-5418,Est-5418,Pay-5418,Emp-5419,Est-5419,Pay-5419,Emp-5511,Est-5511,Pay-5511,Emp-5611,Est-5611,Pay-5611,Emp-5612,Est-5612,Pay-5612,Emp-5613,Est-5613,Pay-5613,Emp-5614,Est-5614,Pay-5614,Emp-5615,Est-5615,Pay-5615,Emp-5616,Est-5616,Pay-5616,Emp-5617,Est-5617,Pay-5617,Emp-5619,Est-5619,Pay-5619,Emp-5621,Est-5621,Pay-5621,Emp-5629,Est-5629,Pay-5629,Emp-6111,Est-6111,Pay-6111,Emp-6113,Est-6113,Pay-6113,Emp-6114,Est-6114,Pay-6114,Emp-6115,Est-6115,Pay-6115,Emp-6116,Est-6116,Pay-6116,Emp-6117,Est-6117,Pay-6117,Emp-6211,Est-6211,Pay-6211,Emp-6212,Est-6212,Pay-6212,Emp-6213,Est-6213,Pay-6213,Emp-6214,Est-6214,Pay-6214,Emp-6215,Est-6215,Pay-6215,Emp-6216,Est-6216,Pay-6216,Emp-6219,Est-6219,Pay-6219,Emp-6221,Est-6221,Pay-6221,Emp-6223,Est-6223,Pay-6223,Emp-6231,Est-6231,Pay-6231,Emp-6232,Est-6232,Pay-6232,Emp-6233,Est-6233,Pay-6233,Emp-6241,Est-6241,Pay-6241,Emp-6242,Est-6242,Pay-6242,Emp-6243,Est-6243,Pay-6243,Emp-6244,Est-6244,Pay-6244,Emp-7111,Est-7111,Pay-7111,Emp-7112,Est-7112,Pay-7112,Emp-7113,Est-7113,Pay-7113,Emp-7115,Est-7115,Pay-7115,Emp-7121,Est-7121,Pay-7121,Emp-7131,Est-7131,Pay-7131,Emp-7132,Est-7132,Pay-7132,Emp-7139,Est-7139,Pay-7139,Emp-7211,Est-7211,Pay-7211,Emp-7212,Est-7212,Pay-7212,Emp-7213,Est-7213,Pay-7213,Emp-7223,Est-7223,Pay-7223,Emp-7224,Est-7224,Pay-7224,Emp-7225,Est-7225,Pay-7225,Emp-8111,Est-8111,Pay-8111,Emp-8112,Est-8112,Pay-8112,Emp-8113,Est-8113,Pay-8113,Emp-8114,Est-8114,Pay-8114,Emp-8121,Est-8121,Pay-8121,Emp-8122,Est-8122,Pay-8122,Emp-8123,Est-8123,Pay-8123,Emp-8129,Est-8129,Pay-8129,Emp-8131,Est-8131,Pay-8131,Emp-8132,Est-8132,Pay-8132,Emp-8133,Est-8133,Pay-8133,Emp-8134,Est-8134,Pay-8134,Emp-8139,Est-8139,Pay-8139
46003,Aurora County,3,-98.57,43.7,1845.97,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,8.0,3.0,248.0,,,,,,,,,,,,,,,,3.0,4.0,166.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,3.0,1377.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,3.0,876.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,3.0,161.0,6.0,3.0,283.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,4.0,2738.0,,,,,,,,,,,,,,,,5.0,4.0,213.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,7.0,221.0,,,,,,,,,,,,,,,,,,,,,,,,,11.0,4.0,127.0,,,,,,,,,,,,
46005,Beadle County,18,-98.28,44.42,3275.84,0.01,0.02,,,,,,,,,,,,,,,,163.0,3.0,12593.0,,,,16.0,13.0,456.0,,,,24.0,5.0,1958.0,,,,23.0,4.0,3892.0,,,,34.0,10.0,1328.0,81.0,14.0,4338.0,9.0,4.0,476.0,22.0,8.0,1192.0,,,,977.0,4.0,34554.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.0,3.0,10121.0,,,,,,,,,,38.0,3.0,1606.0,,,,,,,76.0,4.0,3470.0,,,,,,,,,,,,,,,,,,,29.0,3.0,1700.0,,,,,,,,,,,,,,,,,,,77.0,4.0,4059.0,,,,,,,,,,,,,86.0,3.0,3569.0,67.0,5.0,3515.0,,,,,,,,,,110.0,12.0,7340.0,,,,98.0,5.0,3610.0,,,,37.0,5.0,758.0,19.0,3.0,519.0,,,,16.0,4.0,726.0,57.0,9.0,2255.0,31.0,3.0,1741.0,152.0,5.0,2763.0,,,,,,,41.0,4.0,1700.0,169.0,15.0,3844.0,22.0,5.0,395.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,12.0,3888.0,27.0,12.0,1599.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,3.0,1357.0,,,,,,,,,,,,,15.0,3.0,408.0,,,,,,,206.0,14.0,12158.0,177.0,3.0,7458.0,,,,,,,24.0,4.0,2023.0,,,,93.0,22.0,4475.0,56.0,13.0,1085.0,14.0,7.0,352.0,11.0,6.0,139.0,,,,,,,,,,,,,13.0,7.0,354.0,35.0,10.0,1061.0,,,,,,,,,,,,,,,,,,,37.0,4.0,2011.0,23.0,3.0,1422.0,,,,,,,,,,,,,,,,,,,101.0,12.0,2113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,5.0,2471.0,47.0,5.0,2611.0,53.0,7.0,2205.0,81.0,3.0,3938.0,,,,,,,27.0,3.0,647.0,,,,,,,,,,269.0,14.0,7254.0,58.0,4.0,1255.0,65.0,4.0,1534.0,,,,,,,14.0,3.0,220.0,,,,,,,,,,,,,,,,,,,,,,78.0,8.0,1338.0,89.0,5.0,1338.0,,,,,,,,,,39.0,11.0,406.0,374.0,27.0,5621.0,68.0,18.0,2223.0,,,,15.0,4.0,371.0,,,,,,,,,,,,,,,,143.0,26.0,2248.0,,,,,,,5.0,3.0,82.0,33.0,7.0,1494.0
46007,Bennett County,3,-101.66,43.19,3083.46,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,12.0,3.0,151.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,4.0,695.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,5.0,456.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,4.0,359.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,3.0,409.0,,,,,,,,,,,,,,,,,,,,,,,,,7.0,3.0,156.0,,,,,,,,,,,,
46009,Bon Homme County,7,-97.87,43.01,1506.28,0.0,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,4.0,751.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,3.0,472.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,5.0,1290.0,,,,,,,,,,56.0,4.0,1153.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,9.0,1185.0,,,,,,,,,,,,,,,,,,,,,,6.0,3.0,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,337.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,6.0,1932.0,,,,,,,,,,,,,6.0,3.0,136.0,24.0,9.0,843.0,10.0,3.0,78.0,,,,,,,,,,,,,,,,,,,17.0,3.0,640.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,4.0,273.0,,,,,,,,,,,,,,,,,,,,,,,,,182.0,3.0,4113.0,,,,9.0,4.0,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,4.0,216.0,,,,,,,,,,,,,18.0,4.0,240.0,19.0,3.0,188.0,14.0,5.0,436.0,,,,,,,,,,,,,,,,,,,,,,26.0,12.0,288.0,,,,,,,,,,,,
46011,Brookings County,34,-96.79,44.38,2084.66,0.02,0.04,,,,,,,,,,,,,,,,58.0,5.0,5050.0,,,,55.0,23.0,2117.0,106.0,4.0,4391.0,,,,,,,50.0,3.0,5021.0,,,,95.0,20.0,4091.0,127.0,27.0,5819.0,70.0,15.0,2435.0,37.0,12.0,1854.0,,,,,,,,,,,,,,,,,,,,,,,,,11.0,3.0,496.0,,,,,,,160.0,3.0,7149.0,,,,,,,,,,15.0,3.0,543.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.0,7.0,5337.0,10.0,4.0,594.0,,,,,,,,,,13.0,4.0,553.0,92.0,7.0,5160.0,,,,,,,,,,73.0,11.0,4653.0,,,,112.0,4.0,4654.0,,,,79.0,10.0,2769.0,21.0,3.0,610.0,16.0,3.0,589.0,22.0,6.0,644.0,212.0,7.0,5757.0,,,,435.0,3.0,8124.0,,,,,,,54.0,8.0,1817.0,242.0,19.0,4239.0,62.0,7.0,861.0,,,,,,,33.0,5.0,515.0,,,,,,,406.0,5.0,9357.0,,,,,,,29.0,7.0,415.0,6.0,6.0,168.0,,,,,,,,,,,,,,,,98.0,12.0,5099.0,34.0,15.0,1333.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,3.0,412.0,46.0,4.0,1348.0,,,,27.0,3.0,413.0,,,,52.0,7.0,2316.0,,,,,,,466.0,17.0,31037.0,3.0,4.0,193.0,,,,,,,15.0,6.0,1120.0,25.0,4.0,1324.0,66.0,20.0,2188.0,49.0,17.0,1303.0,24.0,13.0,906.0,104.0,8.0,3702.0,,,,,,,,,,,,,51.0,8.0,3045.0,30.0,7.0,1162.0,265.0,20.0,13461.0,,,,13.0,7.0,1991.0,63.0,13.0,2808.0,89.0,5.0,4964.0,,,,50.0,12.0,1828.0,,,,,,,,,,36.0,3.0,538.0,,,,,,,,,,106.0,28.0,1524.0,11.0,7.0,655.0,,,,,,,,,,,,,,,,,,,68.0,11.0,557.0,,,,156.0,3.0,10037.0,79.0,14.0,5204.0,96.0,19.0,3378.0,17.0,3.0,741.0,,,,,,,,,,,,,,,,,,,190.0,11.0,3617.0,168.0,6.0,3320.0,155.0,10.0,3025.0,30.0,5.0,603.0,,,,112.0,15.0,1436.0,,,,,,,,,,7.0,4.0,233.0,,,,,,,17.0,4.0,439.0,105.0,16.0,1498.0,280.0,12.0,3623.0,,,,,,,162.0,3.0,5068.0,173.0,20.0,1995.0,1221.0,53.0,16393.0,80.0,18.0,2991.0,,,,,,,5.0,3.0,167.0,100.0,10.0,2547.0,8.0,3.0,289.0,,,,10.0,5.0,154.0,275.0,34.0,4472.0,43.0,5.0,2754.0,25.0,4.0,562.0,12.0,6.0,324.0,20.0,7.0,1222.0
46013,Brown County,39,-98.99,31.75,4483.68,0.01,0.05,,,,16.0,7.0,746.0,,,,,,,,,,72.0,5.0,5787.0,,,,76.0,36.0,3045.0,181.0,16.0,9974.0,,,,,,,17.0,3.0,3601.0,,,,122.0,22.0,5836.0,226.0,47.0,11077.0,29.0,17.0,654.0,69.0,12.0,6123.0,,,,,,,,,,,,,,,,,,,,,,,,,341.0,6.0,11989.0,137.0,3.0,7861.0,,,,90.0,4.0,2476.0,,,,,,,,,,,,,,,,,,,6.0,3.0,609.0,,,,618.0,3.0,26428.0,,,,,,,,,,,,,,,,,,,,,,61.0,6.0,2527.0,,,,,,,12.0,3.0,597.0,,,,60.0,7.0,2811.0,17.0,3.0,1013.0,299.0,19.0,16789.0,,,,27.0,3.0,1631.0,,,,,,,181.0,7.0,7044.0,87.0,8.0,3166.0,,,,,,,,,,160.0,19.0,9453.0,,,,343.0,9.0,18281.0,32.0,7.0,1092.0,99.0,10.0,3143.0,58.0,5.0,1812.0,10.0,3.0,461.0,65.0,11.0,2235.0,292.0,12.0,8664.0,53.0,5.0,1661.0,417.0,6.0,10574.0,25.0,4.0,811.0,,,,70.0,15.0,2925.0,263.0,22.0,4542.0,112.0,13.0,1146.0,22.0,5.0,405.0,,,,94.0,10.0,2597.0,,,,194.0,3.0,2384.0,490.0,7.0,12410.0,14.0,3.0,203.0,18.0,4.0,348.0,22.0,4.0,270.0,30.0,6.0,1357.0,6.0,6.0,62.0,,,,46.0,6.0,2095.0,,,,14.0,3.0,916.0,61.0,17.0,2638.0,63.0,16.0,2741.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,5.0,4285.0,,,,,,,145.0,3.0,3882.0,,,,,,,30.0,3.0,1120.0,64.0,8.0,4462.0,14.0,3.0,475.0,,,,360.0,18.0,23326.0,346.0,15.0,19537.0,,,,34.0,8.0,5064.0,117.0,16.0,7138.0,29.0,4.0,1711.0,151.0,44.0,10044.0,114.0,28.0,1825.0,25.0,13.0,481.0,111.0,11.0,5870.0,,,,9.0,4.0,299.0,,,,,,,98.0,22.0,4953.0,123.0,14.0,4342.0,59.0,10.0,4644.0,20.0,3.0,452.0,7.0,5.0,303.0,15.0,8.0,610.0,,,,,,,90.0,8.0,3897.0,165.0,5.0,15408.0,85.0,12.0,5489.0,,,,,,,10.0,3.0,297.0,38.0,3.0,1436.0,,,,148.0,32.0,4554.0,14.0,5.0,575.0,,,,,,,225.0,5.0,5008.0,,,,,,,,,,15.0,4.0,161.0,,,,57.0,8.0,2515.0,138.0,22.0,7443.0,133.0,32.0,4631.0,105.0,4.0,3648.0,,,,,,,19.0,3.0,810.0,1695.0,3.0,107706.0,,,,406.0,3.0,12384.0,,,,326.0,13.0,7698.0,12.0,4.0,553.0,34.0,9.0,724.0,,,,119.0,6.0,1572.0,,,,19.0,4.0,396.0,,,,7.0,4.0,139.0,,,,,,,44.0,7.0,817.0,282.0,20.0,3385.0,474.0,25.0,9540.0,,,,,,,55.0,3.0,1337.0,126.0,13.0,1715.0,1410.0,67.0,20089.0,123.0,31.0,4311.0,,,,32.0,5.0,1727.0,11.0,4.0,304.0,91.0,15.0,1854.0,23.0,7.0,1078.0,16.0,3.0,303.0,17.0,5.0,160.0,327.0,44.0,6562.0,8.0,3.0,147.0,11.0,3.0,253.0,95.0,9.0,800.0,25.0,7.0,433.0
46015,Brule County,5,-99.05,43.68,2192.4,0.0,0.0,,,,3.0,3.0,130.0,,,,,,,,,,,,,,,,8.0,8.0,404.0,,,,,,,,,,,,,,,,26.0,6.0,764.0,19.0,8.0,483.0,,,,10.0,3.0,424.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.0,5.0,3490.0,,,,,,,,,,,,,,,,,,,,,,19.0,5.0,741.0,12.0,3.0,471.0,,,,,,,,,,,,,74.0,9.0,1631.0,,,,,,,,,,,,,,,,,,,24.0,4.0,816.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,4.0,459.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,4.0,2007.0,,,,,,,,,,,,,,,,31.0,9.0,1515.0,,,,,,,,,,,,,,,,,,,,,,15.0,6.0,273.0,18.0,3.0,444.0,,,,,,,,,,,,,,,,,,,9.0,6.0,511.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,6.0,405.0,,,,,,,,,,,,,,,,,,,,,,,,,35.0,3.0,668.0,,,,5.0,3.0,108.0,,,,33.0,5.0,410.0,,,,,,,,,,,,,,,,,,,,,,11.0,6.0,672.0,50.0,7.0,927.0,28.0,4.0,219.0,,,,,,,43.0,5.0,278.0,150.0,12.0,2548.0,38.0,7.0,1401.0,,,,,,,,,,5.0,3.0,99.0,,,,,,,,,,33.0,8.0,550.0,,,,,,,,,,,,
46019,Butte County,10,-121.59,39.65,5871.63,0.0,0.11,13.0,5.0,789.0,,,,3.0,3.0,556.0,,,,,,,,,,,,,24.0,13.0,747.0,,,,,,,,,,,,,,,,13.0,6.0,455.0,52.0,13.0,2416.0,9.0,6.0,179.0,14.0,6.0,444.0,,,,,,,,,,,,,,,,,,,25.0,3.0,880.0,,,,,,,,,,,,,,,,19.0,3.0,845.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,4.0,792.0,,,,,,,,,,,,,,,,81.0,4.0,3799.0,,,,29.0,6.0,1093.0,,,,,,,,,,19.0,3.0,644.0,14.0,3.0,436.0,108.0,4.0,2358.0,,,,,,,,,,134.0,9.0,3190.0,,,,,,,,,,,,,,,,,,,77.0,3.0,1620.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,6.0,1487.0,8.0,10.0,455.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,7.0,3216.0,,,,,,,,,,,,,,,,35.0,10.0,1083.0,15.0,5.0,351.0,8.0,3.0,206.0,,,,,,,,,,,,,,,,13.0,6.0,853.0,26.0,7.0,741.0,,,,,,,,,,2.0,4.0,341.0,,,,,,,40.0,5.0,1227.0,,,,,,,,,,,,,,,,,,,,,,28.0,9.0,472.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,4.0,1932.0,21.0,6.0,559.0,,,,,,,,,,,,,,,,,,,,,,,,,37.0,4.0,728.0,,,,,,,,,,25.0,7.0,667.0,,,,,,,,,,,,,,,,,,,,,,5.0,3.0,143.0,45.0,5.0,708.0,,,,,,,,,,5.0,3.0,110.0,186.0,19.0,2780.0,39.0,9.0,1354.0,,,,12.0,5.0,426.0,,,,,,,,,,,,,,,,54.0,11.0,1092.0,,,,,,,,,,,,
46021,Campbell County,1,-84.37,38.93,1997.21,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,3.0,197.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,3.0,165.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,5.0,88.0,,,,,,,,,,,,,,,,,,,,,,,,,8.0,5.0,100.0,,,,,,,,,,,,
46023,Charles Mix County,9,-98.62,43.23,2979.35,0.0,0.01,,,,,,,,,,,,,,,,,,,,,,12.0,10.0,358.0,74.0,5.0,3601.0,,,,,,,,,,,,,27.0,6.0,1409.0,18.0,6.0,615.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,3.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.0,6.0,2741.0,,,,,,,,,,,,,,,,44.0,6.0,2041.0,,,,,,,,,,18.0,3.0,690.0,,,,,,,,,,,,,,,,,,,,,,22.0,6.0,882.0,,,,132.0,5.0,1463.0,,,,,,,,,,133.0,14.0,2227.0,,,,,,,,,,,,,,,,,,,58.0,7.0,997.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,5.0,164.0,18.0,9.0,929.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,9.0,2971.0,,,,,,,,,,,,,,,,44.0,13.0,1733.0,3.0,3.0,40.0,,,,,,,,,,,,,,,,,,,,,,11.0,4.0,442.0,,,,,,,,,,,,,,,,,,,25.0,3.0,631.0,,,,,,,,,,,,,,,,,,,,,,15.0,7.0,328.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,4.0,458.0,,,,,,,,,,,,,,,,,,,,,,,,,96.0,3.0,2042.0,61.0,4.0,1058.0,2.0,3.0,70.0,,,,32.0,5.0,291.0,,,,,,,,,,,,,,,,,,,,,,6.0,5.0,295.0,266.0,6.0,5599.0,,,,,,,,,,,,,94.0,15.0,1454.0,39.0,11.0,1159.0,,,,,,,,,,4.0,3.0,39.0,7.0,3.0,246.0,,,,,,,56.0,14.0,575.0,,,,,,,,,,,,
