Fips,Name,Population,Longitude,Latitude,Km2,UrbanDensity,PercentUrban,Emp-11,Est-11,Pay-11,Emp-21,Est-21,Pay-21,Emp-22,Est-22,Pay-22,Emp-23,Est-23,Pay-23,Emp-42,Est-42,Pay-42,Emp-51,Est-51,Pay-51,Emp-52,Est-52,Pay-52,Emp-53,Est-53,Pay-53,Emp-54,Est-54,Pay-54,Emp-55,Est-55,Pay-55,Emp-56,Est-56,Pay-56,Emp-61,Est-61,Pay-61,Emp-62,Est-62,Pay-62,Emp-71,Est-71,Pay-71,Emp-72,Est-72,Pay-72,Emp-81,Est-81,Pay-81,Emp-99,Est-99,Pay-99
45039,Fairfield County,22,-82.64,39.79,1838.75,0.0,0.0,15,3,501,,,,698,10,80859,138,29,6936,173,10,11158,30,5,1654,69,18,2287,21,11,793,1417,38,121848,,,,260,18,13397,75,5,2158,540,30,18281,,,,219,22,2937,165,45,2734,,,
45081,Saluda County,20,-81.74,34.01,1195.53,0.0,0.0,56,8,2223,,,,,,,245,36,10374,42,7,1404,,,,49,12,1911,19,5,708,81,13,1944,,,,20,6,818,35,3,669,404,21,13112,26,3,391,230,15,2611,114,31,2571,,,
45079,Richland County,415,-88.09,38.71,1999.38,2.26,1.6,136,14,6109,101,5,6881,375,31,36001,6044,552,341336,8830,396,540675,3003,188,195211,12634,745,1038513,2848,556,154211,10955,1217,809250,1976,78,132134,15673,574,443234,4123,137,117687,30217,1079,1649320,2254,113,35188,20960,876,283870,8659,990,258432,12,13,662
45049,Hampton County,19,-81.12,32.79,1456.94,0.0,0.0,133,15,8190,,,,24,4,1826,185,32,7607,275,6,16306,14,3,768,115,24,5315,15,6,953,89,15,19904,,,,32,11,1259,,,,623,26,20266,,,,296,32,3951,135,33,3613,3,3,35
45045,Greenville County,516,-82.34,34.86,2060.7,1.82,1.17,56,15,1931,72,3,4381,589,26,50405,10904,1288,666470,13097,786,903182,5989,236,379031,11152,1022,848137,3394,887,166534,20775,1836,1513907,10209,133,605704,23714,841,781409,6823,211,236977,34409,1384,1620054,4074,211,62683,25894,1310,402899,11340,1336,333597,38,29,1275
45057,Lancaster County,95,-76.24,40.08,1437.8,0.0,0.0,31,6,1379,535,3,42887,32,3,3233,937,121,47206,1654,68,98838,471,29,55446,1370,123,115943,145,75,7281,628,135,45211,2115,9,245645,944,71,30275,56,7,1067,3135,181,131164,171,21,2726,2685,136,38780,1301,219,79126,3,5,308
45035,Dorchester County,161,-76.1,38.39,1479.4,1.97,1.12,86,14,10014,26,3,1859,76,7,5830,1927,321,93863,1017,95,51621,306,34,14486,675,161,37760,462,172,21462,1209,224,67668,111,5,9927,2161,163,67671,438,31,10104,4376,264,175462,981,37,11101,4489,225,68731,1671,281,44867,2,6,139
45041,Florence County,138,-88.39,45.84,2082.97,1.73,0.2,147,20,7101,,,,168,12,14903,1567,196,76350,2842,161,145474,480,44,19303,2470,240,140833,489,111,22229,2098,200,121204,68,13,4323,3010,152,101881,388,34,9160,24047,409,1257134,465,32,6603,7111,314,102719,2538,342,74088,12,9,167
45065,McCormick County,9,-82.28,33.88,1019.52,0.0,0.0,,,,,,,,,,52,7,2045,,,,,,,10,5,361,10,4,511,10,3,58,,,,57,8,1713,,,,171,6,5112,,,,76,13,938,173,16,3654,,,
45077,Pickens County,125,-84.47,34.46,1327.89,3.36,0.11,14,7,497,,,,144,3,13609,1210,257,57001,560,62,23334,160,32,9200,572,138,31992,247,95,7868,821,154,44786,116,6,12479,722,98,19610,654,24,12373,2964,187,114546,802,37,15160,4978,254,69425,1717,261,38900,5,5,54
45087,Union County,27,-89.25,37.46,1335.09,0.0,0.0,67,8,3695,,,,66,6,4690,85,21,3498,147,12,6457,25,5,966,150,28,5715,28,12,577,46,14,1105,,,,130,11,3197,18,3,260,338,24,9555,7,3,54,607,32,7632,329,75,5494,,,
45089,Williamsburg County,31,-79.74,33.64,2426.95,5.21,0.01,68,15,3249,,,,,,,259,36,14888,237,21,8284,234,4,18913,129,33,5668,25,14,559,96,22,4175,,,,739,23,11341,,,,969,49,29877,8,4,137,289,27,3934,171,62,5801,4,3,136
45059,Laurens County,67,-82.94,32.42,1872.36,0.0,0.0,56,11,2673,31,4,1509,116,4,9410,509,76,23526,204,33,12890,100,13,4326,272,60,11892,52,26,1777,440,59,17950,83,4,4698,597,40,15244,759,8,22181,1779,73,67464,131,13,1822,1424,85,19614,563,134,13570,6,3,64
