Fips,Name,Population,Longitude,Latitude,Km2,UrbanDensity,UrbanPercent,Emp-11,Est-11,Pay-11,Emp-21,Est-21,Pay-21,Emp-22,Est-22,Pay-22,Emp-23,Est-23,Pay-23,Emp-42,Est-42,Pay-42,Emp-51,Est-51,Pay-51,Emp-52,Est-52,Pay-52,Emp-53,Est-53,Pay-53,Emp-54,Est-54,Pay-54,Emp-55,Est-55,Pay-55,Emp-56,Est-56,Pay-56,Emp-61,Est-61,Pay-61,Emp-62,Est-62,Pay-62,Emp-71,Est-71,Pay-71,Emp-72,Est-72,Pay-72,Emp-81,Est-81,Pay-81,Emp-99,Est-99,Pay-99
40091,McIntosh County,20,-81.39,31.5,1845.05,0.01,0.24,,,,4.0,4.0,155.0,16.0,4.0,480.0,158.0,23.0,5482.0,26.0,5.0,1169.0,42.0,10.0,1495.0,153.0,30.0,6981.0,30.0,12.0,1582.0,116.0,29.0,3693.0,,,,63.0,14.0,2649.0,,,,722.0,49.0,27694.0,33.0,4.0,616.0,450.0,39.0,6412.0,122.0,37.0,2693.0,,,
40093,Major County,8,-98.5,36.29,2481.27,0.0,0.2,0.0,4.0,0.0,396.0,22.0,27733.0,,,,188.0,34.0,8663.0,111.0,13.0,4028.0,8.0,3.0,187.0,76.0,10.0,3910.0,0.0,7.0,0.0,47.0,22.0,1414.0,,,,149.0,15.0,9519.0,17.0,4.0,199.0,263.0,15.0,7402.0,,,,103.0,9.0,1342.0,139.0,31.0,4118.0,,,
40095,Marshall County,16,-89.3,41.03,1105.56,0.01,0.4,,,,39.0,9.0,1782.0,40.0,4.0,2291.0,61.0,17.0,1982.0,84.0,7.0,4803.0,0.0,3.0,0.0,168.0,20.0,6965.0,23.0,9.0,450.0,90.0,22.0,3541.0,,,,35.0,9.0,814.0,,,,600.0,28.0,21616.0,171.0,8.0,4845.0,395.0,37.0,5589.0,104.0,34.0,2364.0,,,
40097,Mayes County,41,-95.24,36.3,1770.26,0.02,0.54,,,,,,,15.0,3.0,1349.0,824.0,80.0,44346.0,389.0,36.0,25517.0,74.0,11.0,4277.0,335.0,54.0,14999.0,55.0,21.0,1543.0,358.0,61.0,18280.0,13.0,4.0,314.0,636.0,24.0,16733.0,,,,1092.0,68.0,44252.0,24.0,7.0,463.0,1146.0,87.0,13950.0,385.0,94.0,7393.0,,,
40099,Murray County,14,-84.74,34.79,1100.98,0.01,0.04,,,,353.0,10.0,12644.0,0.0,3.0,0.0,329.0,21.0,15011.0,161.0,7.0,7204.0,0.0,6.0,0.0,113.0,22.0,4657.0,0.0,9.0,0.0,63.0,25.0,1986.0,,,,25.0,9.0,574.0,,,,567.0,34.0,19672.0,0.0,8.0,0.0,459.0,36.0,8178.0,129.0,27.0,2475.0,,,
40101,Muskogee County,69,-95.39,35.66,2175.0,0.03,0.44,,,,49.0,11.0,2450.0,231.0,6.0,24349.0,1264.0,132.0,53116.0,815.0,64.0,37406.0,320.0,29.0,13971.0,664.0,114.0,34304.0,172.0,48.0,5032.0,554.0,79.0,17561.0,94.0,4.0,4540.0,996.0,54.0,24683.0,0.0,8.0,0.0,5806.0,229.0,330800.0,485.0,19.0,12313.0,2432.0,142.0,32190.0,982.0,145.0,22195.0,,,
40103,Noble County,11,-81.5,39.75,1923.04,0.01,0.08,,,,87.0,14.0,4806.0,,,,120.0,22.0,3903.0,104.0,10.0,3788.0,7.0,3.0,387.0,273.0,15.0,18414.0,7.0,4.0,151.0,51.0,12.0,1326.0,,,,6.0,3.0,173.0,3.0,3.0,102.0,397.0,20.0,11244.0,0.0,5.0,0.0,294.0,27.0,4330.0,134.0,31.0,2659.0,,,
40105,Nowata County,10,-95.62,36.78,1503.94,0.01,0.0,,,,15.0,3.0,622.0,,,,52.0,12.0,1628.0,148.0,9.0,1897.0,7.0,4.0,189.0,92.0,10.0,4890.0,10.0,4.0,301.0,26.0,11.0,947.0,,,,32.0,6.0,611.0,,,,284.0,18.0,7186.0,0.0,3.0,0.0,107.0,11.0,1397.0,72.0,18.0,985.0,,,
40107,Okfuskee County,12,-96.31,35.47,1628.81,0.01,0.08,,,,50.0,7.0,1569.0,,,,94.0,15.0,8004.0,21.0,4.0,394.0,7.0,3.0,280.0,81.0,11.0,3458.0,,,,16.0,9.0,714.0,,,,,,,,,,1673.0,33.0,53119.0,,,,157.0,13.0,1823.0,40.0,14.0,566.0,,,
40109,Oklahoma County,774,-97.44,35.55,1860.52,0.42,0.49,32.0,10.0,1172.0,10594.0,646.0,1108946.0,2109.0,41.0,206472.0,18762.0,1867.0,980357.0,20078.0,1346.0,1142834.0,7591.0,353.0,395061.0,20152.0,1814.0,1348068.0,7109.0,1303.0,359416.0,25497.0,3129.0,1694393.0,18879.0,203.0,1623662.0,28351.0,1358.0,1013533.0,8638.0,229.0,240016.0,58721.0,3121.0,3088946.0,7385.0,272.0,292596.0,44715.0,2096.0,712196.0,18623.0,2045.0,534096.0,8.0,12.0,128.0
