Fips,Name,Population,Longitude,Latitude,Km2,UrbanDensity,UrbanPercent,Emp-11,Est-11,Pay-11,Emp-21,Est-21,Pay-21,Emp-22,Est-22,Pay-22,Emp-23,Est-23,Pay-23,Emp-42,Est-42,Pay-42,Emp-51,Est-51,Pay-51,Emp-52,Est-52,Pay-52,Emp-53,Est-53,Pay-53,Emp-54,Est-54,Pay-54,Emp-55,Est-55,Pay-55,Emp-56,Est-56,Pay-56,Emp-61,Est-61,Pay-61,Emp-62,Est-62,Pay-62,Emp-71,Est-71,Pay-71,Emp-72,Est-72,Pay-72,Emp-81,Est-81,Pay-81
46003,Aurora County,3,-98.57,43.7,1845.9,0.0,0.0,,,,,,,,,,25.0,11.0,1108.0,36.0,6.0,1712.0,,,,47.0,7.0,2855.0,,,,74.0,6.0,2590.0,,,,,,,,,,190.0,8.0,6751.0,,,,27.0,9.0,282.0,33.0,8.0,1028.0
46005,Beadle County,18,-98.28,44.42,3275.88,0.01,0.02,2.0,3.0,216.0,,,,165.0,3.0,12502.0,219.0,61.0,14328.0,505.0,34.0,26626.0,81.0,9.0,1551.0,466.0,44.0,23611.0,98.0,31.0,1675.0,118.0,27.0,5087.0,,,,104.0,19.0,3046.0,0.0,3.0,0.0,1289.0,63.0,44914.0,92.0,12.0,1722.0,516.0,40.0,7232.0,317.0,70.0,7100.0
46007,Bennett County,3,-101.66,43.19,3083.46,0.0,0.0,,,,,,,,,,93.0,11.0,2944.0,,,,20.0,5.0,671.0,,,,,,,,,,,,,,,,,,,152.0,7.0,6466.0,,,,56.0,8.0,783.0,14.0,6.0,236.0
46009,Bon Homme County,7,-97.87,43.01,1506.29,0.0,0.22,,,,,,,,,,43.0,12.0,1293.0,127.0,14.0,3685.0,0.0,3.0,0.0,62.0,20.0,2942.0,9.0,4.0,88.0,25.0,6.0,990.0,,,,15.0,7.0,296.0,,,,296.0,17.0,9202.0,12.0,5.0,234.0,43.0,8.0,444.0,51.0,22.0,971.0
46011,Brookings County,34,-96.79,44.38,2084.8,0.02,0.04,,,,14.0,3.0,566.0,66.0,5.0,6118.0,560.0,115.0,26731.0,334.0,39.0,17619.0,178.0,18.0,6722.0,597.0,54.0,32643.0,187.0,44.0,5975.0,596.0,76.0,27561.0,,,,238.0,46.0,6424.0,91.0,17.0,1580.0,1517.0,94.0,51993.0,161.0,29.0,4098.0,1893.0,89.0,27143.0,686.0,100.0,16551.0
46013,Brown County,39,-98.99,31.75,4483.68,0.01,0.04,20.0,7.0,675.0,,,,109.0,7.0,7906.0,781.0,163.0,42578.0,1229.0,89.0,62412.0,321.0,21.0,12825.0,1036.0,103.0,63592.0,297.0,62.0,11006.0,420.0,71.0,18612.0,206.0,8.0,20049.0,442.0,67.0,18633.0,516.0,8.0,11512.0,3247.0,110.0,152782.0,354.0,42.0,5113.0,2019.0,102.0,30449.0,772.0,136.0,17656.0
46015,Brule County,5,-99.05,43.68,2192.34,0.0,0.0,4.0,3.0,127.0,,,,,,,63.0,26.0,2190.0,128.0,15.0,5845.0,,,,76.0,15.0,3693.0,,,,51.0,17.0,1231.0,,,,47.0,7.0,1912.0,,,,408.0,27.0,15389.0,12.0,5.0,244.0,273.0,30.0,4305.0,98.0,26.0,2695.0
46017,Buffalo County,2,-99.08,40.84,1262.82,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,4.0,1201.0,,,,,,,,,
46019,Butte County,10,-121.59,39.65,5871.72,0.0,0.04,18.0,8.0,868.0,0.0,3.0,0.0,,,,153.0,51.0,6113.0,104.0,11.0,2573.0,,,,96.0,20.0,4234.0,28.0,10.0,577.0,100.0,26.0,3474.0,,,,62.0,14.0,1141.0,,,,267.0,30.0,8692.0,4.0,5.0,143.0,314.0,33.0,4129.0,143.0,32.0,3453.0
46021,Campbell County,1,-84.37,38.93,1997.21,0.0,0.0,,,,,,,,,,11.0,3.0,289.0,87.0,7.0,2425.0,,,,0.0,3.0,0.0,,,,9.0,4.0,260.0,,,,,,,,,,19.0,4.0,509.0,,,,15.0,7.0,129.0,10.0,7.0,191.0
