Fips,Name,Population,Longitude,Latitude,Km2,UrbanDensity,PercentUrban,Emp-11,Est-11,Pay-11,Emp-21,Est-21,Pay-21,Emp-22,Est-22,Pay-22,Emp-23,Est-23,Pay-23,Emp-42,Est-42,Pay-42,Emp-51,Est-51,Pay-51,Emp-52,Est-52,Pay-52,Emp-53,Est-53,Pay-53,Emp-54,Est-54,Pay-54,Emp-55,Est-55,Pay-55,Emp-56,Est-56,Pay-56,Emp-61,Est-61,Pay-61,Emp-62,Est-62,Pay-62,Emp-71,Est-71,Pay-71,Emp-72,Est-72,Pay-72,Emp-81,Est-81,Pay-81,Emp-99,Est-99,Pay-99
49001,Beaver County,7,-80.37,40.69,6701.52,0.0,0.0,,,,,,,31,3,3386,139,28,6142,21,4,362,,,,34,7,1974,3,3,74,17,6,430,,,,41,11,2076,,,,281,22,13370,118,4,1771,378,34,7124,53,13,1540,,,
49003,Box Elder County,57,-113.21,41.36,17415.66,1.98,0.03,13,7,783,34,4,3539,25,7,1830,1949,224,114720,1070,46,81926,63,15,2086,321,67,22099,82,70,2899,392,88,19650,7,3,513,559,60,16470,206,14,2799,1583,132,60792,119,18,2111,1745,84,26776,380,91,9463,,,
49005,Cache County,132,-111.75,41.7,3037.95,3.29,0.48,51,6,2034,22,6,1934,40,7,3131,3543,594,174979,1369,141,71153,667,61,29341,1209,209,84571,715,255,25168,4984,518,283247,176,15,10517,2991,205,81320,606,49,14185,6186,478,237247,813,69,10772,4068,190,66258,1059,238,36029,5,7,170
49009,Daggett County,1,-109.48,40.92,1866.26,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,822,71,9,2347,,,,,,
49017,Garfield County,5,-107.88,39.55,13502.83,0.0,0.0,,,,,,,29,6,1936,57,14,3671,20,6,464,160,6,10052,19,6,607,4,6,153,19,11,700,,,,29,6,956,,,,201,12,8359,14,6,779,743,76,25090,,,,,,
49007,Carbon County,20,-75.72,40.89,3845.15,1.64,0.02,,,,452,9,36432,33,3,3095,399,44,20506,160,29,8421,80,10,4082,149,33,6391,54,19,1858,138,29,8168,,,,283,21,9410,,,,1050,67,45695,44,3,539,555,38,9000,314,40,11862,,,
49011,Davis County,359,-92.4,40.75,1644.36,2.4,10.22,21,6,2666,183,9,11788,88,10,8763,9861,1090,552597,2342,288,135738,1393,157,110705,2694,560,196805,1499,620,71664,9141,1255,594744,1131,40,137029,5652,479,222495,2004,153,57157,13545,942,606666,2157,116,41715,10189,486,177970,3327,554,121812,11,8,317
49013,Duchesne County,20,-110.47,40.3,8417.64,0.0,0.0,15,5,761,879,75,82660,104,7,8217,382,94,19957,125,24,7109,227,7,13134,119,18,12766,76,23,4534,157,50,7308,,,,76,26,3821,,,,1111,46,50036,4,3,114,452,39,6618,133,49,5060,,,
49015,Emery County,10,-110.8,38.98,11573.16,0.0,0.0,,,,580,6,34982,400,27,40452,85,17,3122,,,,,,,33,7,1148,,,,87,9,3093,,,,15,8,542,,,,223,16,7580,,,,262,30,5182,84,18,3221,,,
49019,Grand County,10,-106.14,40.1,9544.17,0.0,0.0,,,,8,5,609,,,,280,63,11236,122,13,4258,97,13,3972,74,15,5085,215,49,8274,114,43,6412,16,3,866,239,26,10779,60,8,1767,468,26,26037,172,27,7028,2131,108,61240,63,34,2554,,,
49025,Kane County,8,-88.42,41.92,10638.19,0.0,0.0,,,,9,3,672,,,,162,42,6675,2,4,150,16,7,570,64,15,3972,59,30,2404,63,18,2920,,,,31,14,961,,,,250,16,9603,147,16,4932,1378,59,47906,864,17,40475,,,
49021,Iron County,56,-90.7,37.58,8549.91,2.51,0.05,,,,176,8,13083,63,6,6839,1863,313,82390,371,38,18813,175,26,8040,463,75,28907,295,132,10526,689,183,33542,389,6,28462,802,93,20346,256,27,5134,2787,191,112850,185,32,4449,2339,146,39587,313,95,8951,,,
49023,Juab County,12,-112.83,39.69,8811.44,0.0,0.0,,,,54,3,4287,,,,255,56,11512,49,9,2635,19,3,289,39,10,2070,11,4,348,300,21,21422,,,,179,12,9059,,,,488,19,16506,2,3,301,322,30,4551,36,13,1487,,,
49027,Millard County,13,-113.09,39.04,17710.17,0.0,0.0,,,,111,6,7966,404,3,52249,98,30,3022,100,15,5229,24,5,511,54,13,1875,6,4,319,170,17,8076,,,,143,13,4963,,,,309,24,12560,3,4,112,451,31,6190,55,16,1724,,,
49031,Piute County,2,-112.1,38.31,1984.82,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,5,346,,,,,,
49029,Morgan County,12,-90.19,39.71,1582.1,0.0,0.0,9,3,151,,,,9,3,350,604,91,33100,125,12,9496,19,4,256,47,13,2314,24,20,1019,143,46,6854,,,,84,27,3596,,,,123,28,5925,23,9,464,144,12,2688,33,16,1698,,,
