Fips,Name,Population,Longitude,Latitude,Km2,UrbanDensity,UrbanPercent,Emp-11,Est-11,Pay-11,Emp-21,Est-21,Pay-21,Emp-22,Est-22,Pay-22,Emp-23,Est-23,Pay-23,Emp-42,Est-42,Pay-42,Emp-51,Est-51,Pay-51,Emp-52,Est-52,Pay-52,Emp-53,Est-53,Pay-53,Emp-54,Est-54,Pay-54,Emp-55,Est-55,Pay-55,Emp-56,Est-56,Pay-56,Emp-61,Est-61,Pay-61,Emp-62,Est-62,Pay-62,Emp-71,Est-71,Pay-71,Emp-72,Est-72,Pay-72,Emp-81,Est-81,Pay-81,Emp-99,Est-99,Pay-99
28001,Adams County,30,-91.21,39.98,1262.62,0.02,0.35,29.0,5.0,847.0,163.0,24.0,9525.0,45.0,5.0,3129.0,249.0,39.0,11518.0,300.0,41.0,14502.0,87.0,14.0,4166.0,312.0,63.0,15424.0,94.0,30.0,3961.0,201.0,50.0,8248.0,62.0,5.0,3072.0,633.0,32.0,27180.0,200.0,5.0,5741.0,1759.0,94.0,68273.0,159.0,9.0,4948.0,1325.0,74.0,24386.0,328.0,74.0,8375.0,,,
28003,Alcorn County,35,-88.57,34.87,1040.1,0.03,0.44,19.0,7.0,970.0,,,,83.0,4.0,6314.0,259.0,37.0,10354.0,611.0,35.0,30856.0,136.0,14.0,5182.0,319.0,74.0,20182.0,198.0,20.0,9562.0,1096.0,50.0,50460.0,,,,882.0,22.0,51805.0,31.0,8.0,806.0,1858.0,107.0,77751.0,66.0,7.0,1157.0,1252.0,79.0,20088.0,443.0,85.0,10992.0,,,
28005,Amite County,13,-90.82,31.17,1894.58,0.01,0.02,171.0,20.0,6836.0,31.0,3.0,3252.0,22.0,5.0,1296.0,73.0,16.0,3506.0,23.0,5.0,1146.0,,,,31.0,10.0,1138.0,4.0,5.0,190.0,19.0,7.0,716.0,,,,8.0,4.0,308.0,43.0,3.0,902.0,194.0,14.0,6958.0,,,,53.0,7.0,1042.0,71.0,23.0,1209.0,,,
28007,Attala County,18,-89.57,33.08,1908.11,0.01,0.2,26.0,5.0,840.0,5.0,3.0,274.0,77.0,10.0,6909.0,923.0,21.0,56165.0,75.0,12.0,3272.0,42.0,8.0,1915.0,122.0,30.0,5832.0,31.0,10.0,1180.0,64.0,24.0,2531.0,45.0,3.0,717.0,57.0,6.0,1826.0,,,,551.0,32.0,22980.0,5.0,3.0,125.0,407.0,32.0,5150.0,170.0,39.0,4580.0,,,
28009,Benton County,8,-94.05,45.72,1058.51,0.01,0.32,,,,,,,,,,79.0,6.0,3399.0,,,,,,,33.0,7.0,1341.0,,,,33.0,4.0,2825.0,,,,11.0,3.0,50.0,,,,167.0,8.0,6525.0,,,,32.0,3.0,611.0,47.0,12.0,766.0,,,
28011,Bolivar County,31,-90.85,33.77,2351.37,0.01,0.06,56.0,17.0,2007.0,,,,53.0,5.0,4541.0,247.0,34.0,11692.0,234.0,24.0,15065.0,71.0,13.0,3222.0,191.0,55.0,10404.0,128.0,41.0,3616.0,191.0,46.0,9522.0,77.0,3.0,3772.0,134.0,22.0,3816.0,149.0,3.0,3772.0,1669.0,82.0,64150.0,87.0,14.0,2497.0,1021.0,65.0,14449.0,285.0,81.0,6574.0,,,
28013,Calhoun County,13,-96.67,28.5,1522.5,0.01,0.0,106.0,9.0,3319.0,,,,61.0,9.0,2478.0,27.0,7.0,1156.0,92.0,9.0,5099.0,17.0,4.0,519.0,64.0,21.0,2885.0,11.0,7.0,346.0,25.0,13.0,689.0,,,,,,,39.0,3.0,726.0,294.0,21.0,12302.0,,,,105.0,10.0,1274.0,105.0,30.0,2075.0,,,
28015,Carroll County,10,-89.96,42.06,1643.73,0.01,0.15,19.0,4.0,684.0,,,,,,,153.0,18.0,6938.0,8.0,4.0,572.0,,,,,,,7.0,6.0,309.0,15.0,9.0,455.0,,,,36.0,8.0,1216.0,,,,86.0,6.0,2016.0,,,,,,,32.0,16.0,841.0,,,
28017,Chickasaw County,17,-92.32,43.06,1306.16,0.01,0.0,60.0,7.0,2689.0,,,,,,,142.0,17.0,6586.0,83.0,13.0,3812.0,13.0,6.0,855.0,105.0,24.0,4229.0,73.0,6.0,3691.0,65.0,13.0,2887.0,,,,22.0,8.0,1190.0,24.0,3.0,349.0,338.0,22.0,12803.0,,,,265.0,21.0,3975.0,103.0,34.0,1974.0,,,
28019,Choctaw County,8,-89.24,33.36,1087.36,0.01,0.0,139.0,10.0,9931.0,,,,98.0,6.0,12001.0,13.0,5.0,347.0,9.0,3.0,467.0,,,,16.0,6.0,919.0,,,,3.0,3.0,440.0,,,,20.0,5.0,570.0,,,,369.0,10.0,15043.0,,,,19.0,9.0,553.0,42.0,17.0,900.0,,,
