Fips,Name,Population,Longitude,Latitude,Km2,UrbanDensity,UrbanPercent,Emp-11,Est-11,Pay-11,Emp-21,Est-21,Pay-21,Emp-22,Est-22,Pay-22,Emp-23,Est-23,Pay-23,Emp-42,Est-42,Pay-42,Emp-51,Est-51,Pay-51,Emp-52,Est-52,Pay-52,Emp-53,Est-53,Pay-53,Emp-54,Est-54,Pay-54,Emp-55,Est-55,Pay-55,Emp-56,Est-56,Pay-56,Emp-61,Est-61,Pay-61,Emp-62,Est-62,Pay-62,Emp-71,Est-71,Pay-71,Emp-72,Est-72,Pay-72,Emp-81,Est-81,Pay-81,Emp-99,Est-99,Pay-99
54001,Barbour County,16,-85.4,31.86,888.01,0.02,0.07,,,,563.0,4.0,58055.0,,,,48.0,17.0,1786.0,10.0,4.0,331.0,10.0,4.0,427.0,68.0,7.0,2877.0,15.0,6.0,417.0,69.0,9.0,2197.0,40.0,4.0,1989.0,100.0,7.0,11689.0,,,,932.0,30.0,26471.0,16.0,6.0,166.0,261.0,28.0,3334.0,53.0,20.0,1010.0,,,
54003,Berkeley County,120,-78.04,39.45,833.11,0.14,0.54,,,,,,,94.0,5.0,9702.0,1100.0,183.0,53665.0,810.0,40.0,51726.0,207.0,30.0,11371.0,595.0,101.0,38812.0,227.0,79.0,10638.0,713.0,134.0,47530.0,42.0,9.0,2947.0,1452.0,98.0,37365.0,320.0,17.0,10547.0,6241.0,229.0,464268.0,277.0,34.0,5324.0,3113.0,204.0,58984.0,1151.0,204.0,34212.0,,,
54005,Boone County,22,-88.82,42.32,1303.15,0.02,0.51,4.0,3.0,84.0,1373.0,14.0,112195.0,23.0,4.0,2219.0,40.0,14.0,1926.0,23.0,7.0,921.0,23.0,5.0,2476.0,93.0,11.0,2702.0,9.0,4.0,218.0,69.0,13.0,2489.0,7.0,3.0,489.0,10.0,5.0,400.0,,,,1154.0,37.0,40558.0,22.0,4.0,480.0,224.0,15.0,3361.0,118.0,29.0,3485.0,,,
54007,Braxton County,13,-80.7,38.7,1337.04,0.01,0.04,,,,77.0,3.0,2577.0,42.0,4.0,4598.0,112.0,26.0,5878.0,56.0,7.0,2934.0,25.0,7.0,1328.0,53.0,12.0,1757.0,6.0,4.0,166.0,34.0,11.0,1247.0,,,,83.0,9.0,3417.0,,,,811.0,23.0,24722.0,6.0,3.0,210.0,273.0,22.0,5002.0,121.0,30.0,5710.0,2.0,3.0,59.0
54009,Brooke County,23,-80.57,40.27,239.96,0.1,0.11,,,,,,,,,,195.0,30.0,11193.0,61.0,7.0,2023.0,,,,117.0,20.0,5129.0,29.0,5.0,1125.0,73.0,19.0,1465.0,,,,94.0,20.0,3931.0,,,,2076.0,64.0,104108.0,95.0,12.0,2234.0,587.0,49.0,11575.0,205.0,59.0,3905.0,,,
54011,Cabell County,95,-82.23,38.42,746.0,0.13,0.21,,,,17.0,6.0,422.0,224.0,14.0,19606.0,1778.0,154.0,108128.0,1420.0,104.0,83120.0,787.0,44.0,54167.0,920.0,140.0,64514.0,450.0,106.0,22550.0,1832.0,175.0,81238.0,126.0,15.0,6787.0,4137.0,104.0,144389.0,193.0,19.0,5569.0,14903.0,371.0,862992.0,464.0,55.0,9557.0,4712.0,276.0,85347.0,1359.0,229.0,40916.0,,,
54013,Calhoun County,6,-96.67,28.5,727.22,0.01,0.44,,,,20.0,11.0,775.0,,,,188.0,11.0,19326.0,,,,3.0,3.0,129.0,38.0,3.0,1432.0,,,,19.0,4.0,1553.0,,,,13.0,4.0,428.0,,,,244.0,7.0,11207.0,,,,32.0,6.0,437.0,24.0,9.0,400.0,,,
54015,Clay County,8,-98.21,33.69,890.4,0.01,0.37,,,,,,,,,,100.0,12.0,4436.0,,,,,,,26.0,3.0,1070.0,,,,,,,,,,,,,,,,341.0,15.0,8253.0,,,,34.0,4.0,458.0,49.0,6.0,1972.0,,,
54017,Doddridge County,8,-80.73,39.26,830.27,0.01,0.1,,,,297.0,6.0,34859.0,,,,67.0,10.0,5013.0,9.0,3.0,759.0,10.0,3.0,256.0,40.0,4.0,1968.0,,,,,,,,,,,,,,,,110.0,11.0,2258.0,,,,44.0,7.0,691.0,26.0,12.0,551.0,,,
54019,Fayette County,41,-96.96,29.84,1730.94,0.02,0.26,35.0,14.0,1185.0,595.0,8.0,41254.0,67.0,7.0,6352.0,233.0,62.0,8685.0,226.0,18.0,14290.0,53.0,10.0,2989.0,188.0,34.0,7332.0,42.0,22.0,1501.0,164.0,35.0,7756.0,26.0,3.0,1505.0,227.0,27.0,7089.0,21.0,6.0,560.0,1722.0,98.0,69139.0,127.0,17.0,2403.0,1133.0,77.0,32282.0,352.0,91.0,9265.0,,,
