Fips,Name,Population,Longitude,Latitude,Km2,UrbanDensity,PercentUrban,Emp-11,Est-11,Pay-11,Emp-21,Est-21,Pay-21,Emp-22,Est-22,Pay-22,Emp-23,Est-23,Pay-23,Emp-42,Est-42,Pay-42,Emp-51,Est-51,Pay-51,Emp-52,Est-52,Pay-52,Emp-53,Est-53,Pay-53,Emp-54,Est-54,Pay-54,Emp-55,Est-55,Pay-55,Emp-56,Est-56,Pay-56,Emp-61,Est-61,Pay-61,Emp-62,Est-62,Pay-62,Emp-71,Est-71,Pay-71,Emp-72,Est-72,Pay-72,Emp-81,Est-81,Pay-81,Emp-99,Est-99,Pay-99
12075,Levy County,42,-82.78,29.3,2996.71,0.0,0.0,187,31,6567,,,,,,,916,123,34740,187,28,8668,30,8,1895,224,33,13718,73,30,2271,260,55,11004,,,,145,45,5450,60,10,1562,554,54,21882,94,15,3313,1034,86,19559,302,97,7368,,,
12077,Liberty County,8,-94.79,30.09,2183.16,0.0,0.0,103,10,3925,,,,,,,60,18,2106,8,3,372,,,,,,,,,,27,3,1089,,,,3,4,167,,,,261,10,10039,,,,,,,27,10,727,,,
12079,Madison County,18,-95.95,30.96,1854.13,0.0,0.0,59,7,3054,,,,66,6,5082,104,32,3150,106,11,5418,29,5,1045,75,16,4098,25,10,843,85,13,2553,,,,16,9,681,56,3,2361,980,50,31338,4,3,147,170,25,3383,117,41,2107,,,
12081,Manatee County,395,-82.38,27.52,2060.79,2.44,2.41,1217,27,36824,,,,227,14,24717,9231,1295,510469,3993,428,261481,1517,133,107042,3337,563,311970,2788,826,138028,5128,1260,332875,2114,73,124808,8078,846,437475,2477,141,108695,15966,1084,837073,2653,178,107660,13165,711,302458,4505,919,144178,13,10,575
12083,Marion County,370,-94.34,32.79,4306.34,1.79,0.11,416,81,17036,65,6,4540,182,9,17941,6562,993,316973,4435,328,293522,845,109,46189,2045,380,142218,1843,507,69034,2985,740,163554,1074,25,61871,4758,540,153910,1035,60,36937,16320,970,869949,1514,122,42221,9548,533,188595,4568,750,143066,4,8,356
12085,Martin County,158,-101.92,32.27,1756.64,1.87,0.88,31,18,1287,51,3,2063,319,10,34743,4720,734,247918,1256,212,99773,808,77,56292,1971,334,194105,1288,405,77393,3043,855,198801,287,16,23346,5245,485,227931,600,64,22274,14349,630,776234,2355,120,78856,7631,424,166449,3122,553,110981,9,6,305
12086,Miami-Dade County,2690,-80.5,25.64,5230.16,5.65,11.96,264,50,7986,673,19,62901,3165,64,356561,42983,6394,2319204,66375,8505,4489306,23947,1653,2649405,50450,5270,6377570,24070,6868,1558005,78544,16690,7403009,18302,358,2009303,65686,4632,2708370,36266,1212,2174923,148943,10730,8904684,13436,1451,1033841,110764,6252,3323855,37877,6892,1360195,208,136,9715
12089,Nassau County,88,-73.56,40.74,1736.22,1.93,0.07,133,19,10040,,,,136,8,10595,1144,264,48925,341,39,16881,122,27,8840,434,90,30902,543,159,29316,714,232,40975,258,5,36867,789,120,29376,175,25,5756,3025,227,142526,646,48,18285,4664,190,121102,1236,212,40781,,,
12105,Polk County,713,-94.82,30.76,5206.76,2.13,0.96,322,39,13958,842,19,77963,404,27,47722,12479,1631,619812,9643,626,576434,2384,188,125074,10702,683,820907,4205,871,186496,7345,1205,430796,11743,58,848377,12988,940,427567,4829,182,168708,30087,1287,1635971,3148,155,68358,19094,1004,364188,7951,1270,260098,18,19,570
12091,Okaloosa County,209,-86.6,30.68,2576.25,2.07,0.66,27,11,727,,,,271,17,21167,3074,601,145811,1062,139,80663,506,76,22561,1946,291,160994,2081,506,97696,7576,781,630883,115,16,8395,3876,374,198041,417,54,17867,8865,650,492595,1124,104,29504,11078,570,271379,4287,531,124002,15,8,195
