Fips,Name,Population,Longitude,Latitude,Km2,UrbanDensity,PercentUrban,Emp-11,Est-11,Pay-11,Emp-21,Est-21,Pay-21,Emp-22,Est-22,Pay-22,Emp-23,Est-23,Pay-23,Emp-42,Est-42,Pay-42,Emp-51,Est-51,Pay-51,Emp-52,Est-52,Pay-52,Emp-53,Est-53,Pay-53,Emp-54,Est-54,Pay-54,Emp-55,Est-55,Pay-55,Emp-56,Est-56,Pay-56,Emp-61,Est-61,Pay-61,Emp-62,Est-62,Pay-62,Emp-71,Est-71,Pay-71,Emp-72,Est-72,Pay-72,Emp-81,Est-81,Pay-81,Emp-99,Est-99,Pay-99
31067,Gage County,22,-96.7,40.25,2227.69,1.78,0.08,17,4,812,0,3,0,,,,294,86,10560,452,41,21536,79,7,2220,224,51,12456,30,20,924,147,36,5698,,,,160,27,3904,0,4,0,1690,58,61023,131,11,1308,662,49,7744,409,88,6872,,,
31081,Hamilton County,9,-97.97,31.64,1410.83,0.0,0.0,4,3,188,,,,,,,144,41,5733,395,27,25803,0,4,0,119,21,6334,25,9,458,97,23,5110,0,4,0,55,12,1492,,,,345,20,12044,37,6,536,168,20,2957,128,44,3731,,,
31095,Jefferson County,7,-94.17,29.83,1491.35,0.0,0.0,,,,,,,,,,204,27,10586,198,21,8643,53,5,2419,80,17,4004,13,7,275,49,13,1756,,,,17,7,635,,,,432,19,14392,6,3,72,186,21,1803,99,33,2155,,,
31099,Kearney County,7,-98.95,40.49,1337.25,0.0,0.0,,,,,,,,,,145,25,4605,165,15,8744,0,4,0,76,12,3775,,,,25,9,989,,,,6,4,228,,,,491,10,17696,28,6,721,91,14,1206,67,27,1025,,,
31101,Keith County,8,-101.69,41.2,2873.98,1.91,0.02,,,,,,,,,,132,34,4047,204,18,8088,64,12,2455,161,31,9328,34,15,683,120,32,4647,0,3,0,47,11,1435,,,,268,22,11646,7,5,262,515,48,7662,126,34,3421,,,
31119,Madison County,35,-95.95,30.96,1490.26,1.95,0.23,3,3,51,0,3,0,,,,940,128,44988,1561,66,86175,207,19,7325,740,111,40190,209,68,8416,677,83,26619,24,6,4220,776,67,20651,92,8,1232,3593,172,170937,203,17,2991,1621,93,22347,937,139,23242,,,
31135,Perkins County,3,-101.65,40.85,2290.49,0.0,0.0,58,5,2849,,,,,,,108,24,4147,112,16,6291,9,3,302,34,12,1757,,,,17,7,528,,,,,,,,,,238,7,8498,12,3,74,22,5,228,45,18,1227,,,
31137,Phelps County,9,-91.82,37.91,1399.81,1.6,0.12,46,8,2704,,,,,,,541,34,37859,354,32,18608,48,7,868,155,30,8782,10,6,141,96,23,4137,,,,32,13,1374,0,3,0,810,23,28010,163,8,1503,264,18,2913,214,48,5258,,,
31155,Saunders County,21,-96.65,41.23,1967.9,0.0,0.0,,,,,,,12,3,618,516,105,24122,247,32,12585,59,5,5647,210,39,11254,32,17,695,126,46,6428,,,,91,40,2819,0,3,0,675,29,20137,43,9,1018,384,39,4614,230,56,4883,5,3,125
31157,Scotts Bluff County,37,-103.71,41.86,1930.29,2.29,0.18,,,,3,3,142,39,6,3421,810,107,34082,823,67,39414,298,17,10078,805,78,31376,138,46,4956,353,71,16193,514,10,23726,666,46,15490,55,6,982,2799,134,127476,223,23,3695,1487,106,21704,625,119,15265,,,
