Fips,Name,Population,Longitude,Latitude,Km2,UrbanDensity,PercentUrban,Emp-11,Est-11,Pay-11,Emp-21,Est-21,Pay-21,Emp-22,Est-22,Pay-22,Emp-23,Est-23,Pay-23,Emp-42,Est-42,Pay-42,Emp-51,Est-51,Pay-51,Emp-52,Est-52,Pay-52,Emp-53,Est-53,Pay-53,Emp-54,Est-54,Pay-54,Emp-55,Est-55,Pay-55,Emp-56,Est-56,Pay-56,Emp-61,Est-61,Pay-61,Emp-62,Est-62,Pay-62,Emp-71,Est-71,Pay-71,Emp-72,Est-72,Pay-72,Emp-81,Est-81,Pay-81
46003,Aurora County,3,-98.57,43.7,1845.9,0.0,0.0,,,,,,,,,,25,11,1108,36,6,1712,,,,47,7,2855,,,,74,6,2590,,,,,,,,,,190,8,6751,,,,27,9,282,33,8,1028
46051,Grant County,7,-96.03,45.94,1780.78,0.0,0.0,,,,0,3,0,149,6,12523,148,35,10380,119,13,6324,65,7,1493,113,17,5464,9,6,243,46,14,1354,,,,144,14,5272,,,,603,25,28562,46,8,1190,247,27,2718,153,33,3399
46053,Gregory County,4,-99.17,43.17,2728.32,0.0,0.0,6,4,85,,,,,,,67,24,2018,56,8,1049,,,,69,11,3513,12,3,239,37,11,1139,,,,,,,,,,247,16,8119,25,6,695,105,20,1278,54,25,1157
46123,Tripp County,5,-99.89,43.32,4188.72,0.0,0.0,,,,,,,,,,69,10,2957,150,12,8284,0,4,0,70,13,2823,,,,52,12,2363,,,,22,4,512,,,,468,25,16754,0,3,0,159,23,2495,96,22,1679
46085,Lyman County,4,-99.86,43.92,4420.44,0.0,0.0,,,,,,,,,,26,10,794,53,5,1909,,,,29,9,916,,,,0,3,0,,,,,,,,,,,,,,,,206,15,3894,12,6,211
46137,Ziebach County,3,-101.71,44.92,5103.93,0.0,0.0,,,,,,,,,,3,3,149,24,4,890,,,,26,4,1384,,,,,,,,,,,,,,,,80,9,3106,,,,48,4,774,,,
46039,Deuel County,4,-102.33,41.11,1648.4,0.0,0.0,,,,,,,29,3,1874,125,31,8179,61,8,2862,0,4,0,41,7,2490,,,,24,7,939,,,,2,4,104,,,,173,6,5806,10,3,116,45,9,499,47,16,747
46115,Spink County,6,-98.37,44.94,3910.5,0.0,0.0,,,,,,,,,,56,18,2806,197,20,13387,0,3,0,70,19,3200,0,3,0,35,7,1725,,,,0,3,0,,,,296,16,8398,0,3,0,130,18,1899,79,26,1799
46009,Bon Homme County,7,-97.87,43.01,1506.29,0.0,0.0,,,,,,,,,,43,12,1293,127,14,3685,0,3,0,62,20,2942,9,4,88,25,6,990,,,,15,7,296,,,,296,17,9202,12,5,234,43,8,444,51,22,971
46015,Brule County,5,-99.05,43.68,2192.34,0.0,0.0,4,3,127,,,,,,,63,26,2190,128,15,5845,,,,76,15,3693,,,,51,17,1231,,,,47,7,1912,,,,408,27,15389,12,5,244,273,30,4305,98,26,2695
