,Fips,Name,Emp-11-2017,Emp-11-2018,Emp-11-2019,Emp-11-2020,Emp-11-2021,Emp-21-2017,Emp-21-2018,Emp-21-2019,Emp-21-2020,Emp-21-2021,Emp-22-2017,Emp-22-2018,Emp-22-2019,Emp-22-2020,Emp-22-2021,Emp-23-2017,Emp-23-2018,Emp-23-2019,Emp-23-2020,Emp-23-2021,Emp-42-2017,Emp-42-2018,Emp-42-2019,Emp-42-2020,Emp-42-2021,Emp-51-2017,Emp-51-2018,Emp-51-2019,Emp-51-2020,Emp-51-2021,Emp-52-2017,Emp-52-2018,Emp-52-2019,Emp-52-2020,Emp-52-2021,Emp-53-2017,Emp-53-2018,Emp-53-2019,Emp-53-2020,Emp-53-2021,Emp-54-2017,Emp-54-2018,Emp-54-2019,Emp-54-2020,Emp-54-2021,Emp-55-2017,Emp-55-2018,Emp-55-2019,Emp-55-2020,Emp-55-2021,Emp-56-2017,Emp-56-2018,Emp-56-2019,Emp-56-2020,Emp-56-2021,Emp-61-2017,Emp-61-2018,Emp-61-2019,Emp-61-2020,Emp-61-2021,Emp-62-2017,Emp-62-2018,Emp-62-2019,Emp-62-2020,Emp-62-2021,Emp-71-2017,Emp-71-2018,Emp-71-2019,Emp-71-2020,Emp-71-2021,Emp-72-2017,Emp-72-2018,Emp-72-2019,Emp-72-2020,Emp-72-2021,Emp-81-2017,Emp-81-2018,Emp-81-2019,Emp-81-2020,Emp-81-2021,Emp-99-2017,Emp-99-2018,Emp-99-2019,Emp-99-2020,Emp-99-2021,Est-11-2017,Est-11-2018,Est-11-2019,Est-11-2020,Est-11-2021,Est-21-2017,Est-21-2018,Est-21-2019,Est-21-2020,Est-21-2021,Est-22-2017,Est-22-2018,Est-22-2019,Est-22-2020,Est-22-2021,Est-23-2017,Est-23-2018,Est-23-2019,Est-23-2020,Est-23-2021,Est-42-2017,Est-42-2018,Est-42-2019,Est-42-2020,Est-42-2021,Est-51-2017,Est-51-2018,Est-51-2019,Est-51-2020,Est-51-2021,Est-52-2017,Est-52-2018,Est-52-2019,Est-52-2020,Est-52-2021,Est-53-2017,Est-53-2018,Est-53-2019,Est-53-2020,Est-53-2021,Est-54-2017,Est-54-2018,Est-54-2019,Est-54-2020,Est-54-2021,Est-55-2017,Est-55-2018,Est-55-2019,Est-55-2020,Est-55-2021,Est-56-2017,Est-56-2018,Est-56-2019,Est-56-2020,Est-56-2021,Est-61-2017,Est-61-2018,Est-61-2019,Est-61-2020,Est-61-2021,Est-62-2017,Est-62-2018,Est-62-2019,Est-62-2020,Est-62-2021,Est-71-2017,Est-71-2018,Est-71-2019,Est-71-2020,Est-71-2021,Est-72-2017,Est-72-2018,Est-72-2019,Est-72-2020,Est-72-2021,Est-81-2017,Est-81-2018,Est-81-2019,Est-81-2020,Est-81-2021,Est-99-2017,Est-99-2018,Est-99-2019,Est-99-2020,Est-99-2021,Km2-2017,Km2-2018,Km2-2019,Km2-2020,Km2-2021,Latitude-2017,Latitude-2018,Latitude-2019,Latitude-2020,Latitude-2021,Longitude-2017,Longitude-2018,Longitude-2019,Longitude-2020,Longitude-2021,Pay-11-2017,Pay-11-2018,Pay-11-2019,Pay-11-2020,Pay-11-2021,Pay-21-2017,Pay-21-2018,Pay-21-2019,Pay-21-2020,Pay-21-2021,Pay-22-2017,Pay-22-2018,Pay-22-2019,Pay-22-2020,Pay-22-2021,Pay-23-2017,Pay-23-2018,Pay-23-2019,Pay-23-2020,Pay-23-2021,Pay-42-2017,Pay-42-2018,Pay-42-2019,Pay-42-2020,Pay-42-2021,Pay-51-2017,Pay-51-2018,Pay-51-2019,Pay-51-2020,Pay-51-2021,Pay-52-2017,Pay-52-2018,Pay-52-2019,Pay-52-2020,Pay-52-2021,Pay-53-2017,Pay-53-2018,Pay-53-2019,Pay-53-2020,Pay-53-2021,Pay-54-2017,Pay-54-2018,Pay-54-2019,Pay-54-2020,Pay-54-2021,Pay-55-2017,Pay-55-2018,Pay-55-2019,Pay-55-2020,Pay-55-2021,Pay-56-2017,Pay-56-2018,Pay-56-2019,Pay-56-2020,Pay-56-2021,Pay-61-2017,Pay-61-2018,Pay-61-2019,Pay-61-2020,Pay-61-2021,Pay-62-2017,Pay-62-2018,Pay-62-2019,Pay-62-2020,Pay-62-2021,Pay-71-2017,Pay-71-2018,Pay-71-2019,Pay-71-2020,Pay-71-2021,Pay-72-2017,Pay-72-2018,Pay-72-2019,Pay-72-2020,Pay-72-2021,Pay-81-2017,Pay-81-2018,Pay-81-2019,Pay-81-2020,Pay-81-2021,Pay-99-2017,Pay-99-2018,Pay-99-2019,Pay-99-2020,Pay-99-2021,PercentUrban-2017,PercentUrban-2018,PercentUrban-2019,PercentUrban-2020,PercentUrban-2021,Population-2017,Population-2018,Population-2019,Population-2020,Population-2021,UrbanDensity-2017,UrbanDensity-2018,UrbanDensity-2019,UrbanDensity-2020,UrbanDensity-2021
10,2180,Nome Census Area,,,,,,0.0,17.0,27.0,28.0,18.0,,,,,,38.0,23.0,15.0,41.0,31.0,35.0,29.0,30.0,43.0,32.0,51.0,50.0,47.0,44.0,46.0,39.0,31.0,35.0,29.0,24.0,14.0,50.0,44.0,15.0,17.0,11.0,11.0,15.0,12.0,4.0,,,,,,43.0,42.0,33.0,50.0,34.0,,,,,,0.0,951.0,1112.0,1094,1126.0,41.0,46.0,31.0,33.0,28.0,146.0,133.0,139.0,137.0,111.0,75.0,59.0,57.0,57.0,45.0,,,,,,,,,,,3.0,4.0,6.0,5.0,6.0,,,,,,13.0,13.0,11.0,14.0,12.0,4.0,3.0,3.0,3.0,4.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,10.0,11.0,8.0,8.0,8.0,6.0,4.0,8.0,7.0,5.0,,,,,,6.0,7.0,7.0,7.0,7.0,,,,,,29.0,28.0,30.0,29,32.0,5.0,6.0,6.0,5.0,5.0,19.0,18.0,20.0,16.0,15.0,18.0,15.0,18.0,19.0,18.0,,,,,,61428.5,61428.5,61428.34,61415.89,61427.41,65.0,65.0,65.0,65.0,65.0,-163.09,-163.09,-163.09,-163.09,-163.09,,,,,,0.0,3122.0,4225.0,2670.0,1052.0,,,,,,4224.0,4995.0,3608.0,3189.0,6394.0,2080.0,2176.0,2493.0,2563.0,2766.0,1748.0,1754.0,1781.0,1790.0,1835.0,3495.0,1902.0,1992.0,1950.0,1632.0,929.0,1651.0,1058.0,823.0,2646.0,339.0,1287.0,1873.0,659.0,312.0,,,,,,1101.0,1359.0,1508.0,1507.0,1278.0,,,,,,0.0,69655.0,79086.0,90177,100168.0,323.0,366.0,386.0,165.0,293.0,4770.0,3982.0,3966.0,3739.0,3813.0,2428.0,1876.0,2158.0,1987.0,2179.0,,,,,,0.0,0.0,0.0,0.0,0.0,10,10,10,10.0,10.0,2.38,2.46,2.36,2.41,2.29
11,2070,Dillingham Census Area,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,17.0,10.0,15.0,21.0,36.0,,,,,,,,,,,10.0,11.0,10.0,13.0,14.0,11.0,12.0,10.0,14.0,10.0,17.0,29.0,36.0,38.0,46.0,,,,,,,24.0,,,,,,,,,687.0,695.0,675.0,666,626.0,13.0,6.0,7.0,2.0,0.0,45.0,43.0,41.0,48.0,34.0,7.0,6.0,5.0,12.0,12.0,,,,,,3.0,4.0,6.0,4.0,4.0,,,,,,,,,,,7.0,7.0,5.0,6.0,8.0,,,,,,,,,,,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,5.0,5.0,5.0,,,,,,,3.0,,,,,,,,,8.0,9.0,11.0,12,13.0,5.0,7.0,7.0,5.0,4.0,12.0,12.0,12.0,12.0,15.0,5.0,4.0,4.0,4.0,5.0,,,,,,49176.12,49176.18,49176.18,49108.9,49175.71,59.9,59.9,59.9,59.9,59.9,-158.2,-158.2,-158.2,-158.2,-158.2,68.0,59.0,78.0,29.0,47.0,,,,,,,,,,,2012.0,1285.0,1636.0,3643.0,5103.0,,,,,,,,,,,381.0,409.0,366.0,371.0,405.0,755.0,907.0,1014.0,909.0,936.0,948.0,1634.0,1572.0,1935.0,3371.0,,,,,,,1635.0,,,,,,,,,41956.0,42005.0,43675.0,42830,46327.0,543.0,695.0,866.0,134.0,467.0,1239.0,1320.0,1374.0,953.0,1378.0,495.0,484.0,600.0,1209.0,767.0,,,,,,0.0,0.0,0.0,0.0,0.0,5,5,5,5.0,5.0,0.0,0.0,0.0,0.0,0.0
12,2100,Haines Borough,2.0,1.0,1.0,2.0,2.0,,,,,,,,,,,55.0,47.0,91.0,62.0,27.0,,,,,,15.0,12.0,12.0,11.0,10.0,,,,,,4.0,5.0,4.0,2.0,2.0,8.0,13.0,14.0,21.0,20.0,,,,,,16.0,8.0,6.0,16.0,20.0,0.0,22.0,23.0,17.0,15.0,130.0,132.0,122.0,111,126.0,62.0,40.0,67.0,36.0,48.0,77.0,83.0,81.0,77.0,64.0,16.0,13.0,15.0,13.0,15.0,,,,,,5.0,6.0,6.0,6.0,6.0,,,,,,,,,,,17.0,19.0,17.0,21.0,15.0,,,,,,4.0,3.0,3.0,3.0,3.0,,,,,,6.0,4.0,3.0,3.0,4.0,6.0,8.0,5.0,6.0,6.0,,,,,,5.0,4.0,5.0,6.0,6.0,3.0,3.0,3.0,3.0,3.0,10.0,9.0,9.0,9,11.0,15.0,15.0,15.0,14.0,16.0,18.0,21.0,19.0,18.0,17.0,8.0,10.0,10.0,9.0,9.0,,,,,,6410.48,6236.4,6236.41,6231.13,6236.4,59.08,59.08,59.08,59.08,59.08,-135.34,-135.34,-135.34,-135.34,-135.34,53.0,75.0,74.0,60.0,62.0,,,,,,,,,,,6305.0,11922.0,8609.0,5037.0,1416.0,,,,,,334.0,296.0,314.0,322.0,330.0,,,,,,84.0,78.0,114.0,36.0,41.0,338.0,809.0,1280.0,1735.0,2132.0,,,,,,648.0,385.0,593.0,632.0,632.0,0.0,620.0,554.0,352.0,395.0,3817.0,5487.0,5381.0,5111,5123.0,2933.0,2574.0,3170.0,1392.0,2157.0,1902.0,2333.0,1953.0,1121.0,1500.0,313.0,398.0,496.0,449.0,538.0,,,,,,0.0,0.0,0.0,0.0,0.0,3,3,3,3.0,2.0,0.0,0.0,0.0,0.0,0.0
13,2282,Yakutat City and Borough,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,20.0,18.0,21,,,,,,,10.0,12.0,10.0,10.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,3.0,3,,,,,,,6.0,6.0,5.0,6.0,9.0,,,,,,,,,,,20579.97,20569.58,20569.58,20568.71,20569.58,59.64,59.64,59.64,59.64,59.64,-139.34,-139.34,-139.34,-139.34,-139.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,909.0,856.0,1081.0,1433,,,,,,,797.0,903.0,953.0,716.0,1141.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0
14,2110,Juneau City and Borough,51.0,47.0,45.0,43.0,5.0,791.0,842.0,853.0,866.0,880.0,0.0,87.0,101.0,87.0,90.0,550.0,537.0,551.0,522.0,460.0,309.0,273.0,269.0,291.0,292.0,249.0,246.0,224.0,225.0,167.0,317.0,297.0,330.0,336.0,336.0,202.0,222.0,216.0,199.0,177.0,508.0,523.0,483.0,531.0,558.0,101.0,138.0,198.0,285.0,346.0,391.0,375.0,378.0,421.0,479.0,139.0,160.0,141.0,131.0,159.0,2226.0,2383.0,2348.0,2236,2172.0,472.0,267.0,326.0,292.0,219.0,1382.0,1234.0,1276.0,1188.0,1003.0,592.0,586.0,626.0,660.0,635.0,,,,,,25.0,21.0,21.0,22.0,21.0,5.0,6.0,7.0,9.0,9.0,7.0,8.0,7.0,8.0,8.0,118.0,114.0,119.0,120.0,126.0,39.0,35.0,35.0,33.0,32.0,27.0,27.0,25.0,25.0,26.0,49.0,44.0,44.0,45.0,48.0,64.0,66.0,60.0,55.0,57.0,92.0,98.0,92.0,94.0,101.0,9.0,9.0,9.0,9.0,8.0,62.0,58.0,64.0,63.0,65.0,17.0,17.0,15.0,16.0,20.0,133.0,129.0,123.0,127,120.0,37.0,36.0,32.0,32.0,30.0,124.0,123.0,120.0,119.0,116.0,102.0,106.0,111.0,105.0,103.0,,,,,,7114.76,7290.31,7290.31,7283.72,7290.31,58.3,58.3,58.3,58.3,58.3,-134.42,-134.42,-134.42,-134.42,-134.42,3012.0,2795.0,2915.0,1896.0,1135.0,95136.0,97040.0,101584.0,109310.0,115169.0,0.0,8079.0,8370.0,8535.0,9139.0,44384.0,42234.0,43084.0,37207.0,35408.0,17595.0,16796.0,16460.0,16161.0,17157.0,12018.0,12667.0,12293.0,12209.0,11634.0,24450.0,22422.0,24780.0,28491.0,29903.0,8176.0,8860.0,8182.0,7960.0,8715.0,30504.0,31999.0,33489.0,34260.0,37764.0,9754.0,12245.0,24894.0,30987.0,36339.0,18606.0,20549.0,22370.0,20837.0,26366.0,3658.0,3814.0,3820.0,4129.0,4909.0,129242.0,138712.0,141640.0,145362,147238.0,5337.0,5396.0,6076.0,4790.0,5045.0,31843.0,32661.0,33832.0,25856.0,32906.0,24477.0,25196.0,27066.0,27345.0,28639.0,,,,,,0.02,0.03,0.02,0.04,0.03,32,32,32,32.0,32.0,2.51,2.21,2.24,1.89,1.91
15,2164,Lake and Peninsula Borough,0.0,,0.0,,1.0,,,,,,14.0,12.0,18.0,15.0,24.0,14.0,7.0,,,,,,,,,,,,,,,,,,,5.0,4.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,2,2.0,,0.0,0.0,0.0,0.0,17.0,17.0,18.0,13.0,22.0,0.0,,,12.0,10.0,,,,,,4.0,,3.0,,3.0,,,,,,4.0,4.0,3.0,3.0,4.0,4.0,3.0,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,3,3.0,,3.0,4.0,3.0,4.0,10.0,10.0,10.0,9.0,12.0,3.0,,,3.0,3.0,,,,,,68724.82,68724.82,68724.82,68526.63,68531.1,58.33,58.33,58.33,58.33,58.33,-156.15,-156.15,-156.15,-156.15,-156.15,81.0,,55.0,,69.0,,,,,,722.0,577.0,461.0,536.0,630.0,1508.0,358.0,,,,,,,,,,,,,,,,,,,43.0,57.0,110.0,110.0,129.0,,,,,,,,,,,,,,,,,,,,,,,,9,62.0,,384.0,430.0,227.0,618.0,3933.0,4164.0,4208.0,3119.0,6208.0,0.0,,,497.0,556.0,,,,,,0.0,0.0,0.0,0.0,0.0,1,1,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0
16,2240,Southeast Fairbanks Census Area,10.0,10.0,11.0,11.0,9.0,0.0,332.0,394.0,529.0,602.0,45.0,47.0,46.0,46.0,51.0,95.0,104.0,82.0,86.0,101.0,66.0,29.0,25.0,,,22.0,19.0,19.0,16.0,18.0,15.0,20.0,20.0,18.0,18.0,9.0,11.0,8.0,13.0,16.0,47.0,46.0,41.0,43.0,43.0,,,,,,15.0,16.0,20.0,21.0,21.0,12.0,18.0,24.0,19.0,20.0,102.0,114.0,101.0,112,121.0,0.0,0.0,0.0,0.0,1.0,153.0,142.0,129.0,139.0,135.0,15.0,17.0,21.0,14.0,21.0,,,,,,5.0,3.0,3.0,3.0,3.0,6.0,6.0,7.0,7.0,7.0,5.0,5.0,4.0,4.0,4.0,14.0,14.0,14.0,14.0,17.0,3.0,3.0,3.0,,,9.0,9.0,9.0,9.0,9.0,4.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,11.0,10.0,11.0,12.0,9.0,,,,,,6.0,4.0,6.0,6.0,7.0,4.0,4.0,4.0,4.0,5.0,10.0,11.0,11.0,13,12.0,4.0,5.0,3.0,3.0,4.0,29.0,22.0,21.0,23.0,20.0,12.0,10.0,11.0,10.0,9.0,,,,,,65073.9,65038.97,65038.97,65060.32,65061.8,63.85,63.85,63.85,63.85,63.85,-143.99,-143.99,-143.99,-143.99,-143.99,291.0,353.0,670.0,675.0,608.0,0.0,50321.0,62615.0,72808.0,84891.0,3825.0,4090.0,4384.0,4607.0,4761.0,5655.0,5108.0,5545.0,8199.0,8219.0,2194.0,1406.0,1357.0,,,807.0,884.0,666.0,880.0,825.0,674.0,804.0,766.0,842.0,821.0,447.0,448.0,524.0,559.0,596.0,3327.0,3262.0,3137.0,3334.0,2857.0,,,,,,365.0,294.0,1254.0,1410.0,923.0,360.0,400.0,461.0,428.0,348.0,4503.0,4630.0,4301.0,4601,4781.0,72.0,133.0,70.0,90.0,182.0,4185.0,4208.0,4323.0,3823.0,4895.0,326.0,317.0,407.0,320.0,406.0,,,,,,0.0,0.0,0.0,0.0,0.0,7,7,7,7.0,7.0,0.0,0.0,0.0,0.0,0.0
17,2290,Yukon-Koyukuk Census Area,,,,6.0,,23.0,10.0,5.0,3.0,3.0,17.0,16.0,19.0,18.0,17.0,11.0,24.0,6.0,12.0,15.0,30.0,29.0,26.0,23.0,15.0,11.0,9.0,8.0,4.0,5.0,,,,,,,4.0,,,,0.0,11.0,14.0,,,,,,,,,2.0,2.0,12.0,,,,,,,32.0,34.0,26.0,25,28.0,,,,,,12.0,23.0,21.0,20.0,21.0,21.0,23.0,11.0,11.0,12.0,,,,,,,,,3.0,,6.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,7.0,8.0,6.0,9.0,9.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,3.0,,,,4.0,3.0,3.0,,,,,,,,,3.0,3.0,3.0,,,,,,,9.0,9.0,5.0,6,4.0,,,,,,7.0,8.0,11.0,10.0,10.0,5.0,7.0,4.0,3.0,4.0,,,,,,383072.25,382988.48,382992.35,382999.05,382991.19,65.23,65.23,65.23,65.23,65.23,-153.55,-153.55,-153.55,-153.55,-153.55,,,,729.0,,1646.0,962.0,598.0,632.0,369.0,703.0,717.0,625.0,677.0,488.0,511.0,1298.0,571.0,1351.0,4806.0,1564.0,1483.0,1331.0,1011.0,850.0,281.0,248.0,179.0,124.0,165.0,,,,,,,105.0,,,,0.0,582.0,560.0,,,,,,,,,112.0,61.0,337.0,,,,,,,1173.0,1218.0,863.0,1023,1040.0,,,,,,253.0,336.0,404.0,272.0,319.0,455.0,429.0,307.0,338.0,495.0,,,,,,0.0,0.0,0.0,0.0,0.0,5,5,5,5.0,5.0,0.0,0.0,0.0,0.0,0.0
18,2020,Anchorage Municipality,16.0,10.0,16.0,61.0,68.0,4925.0,4570.0,5335.0,4415.0,2934.0,659.0,666.0,666.0,690.0,872.0,9066.0,8251.0,8485.0,9189.0,8250.0,5856.0,5869.0,5761.0,5930.0,5523.0,4533.0,4290.0,4412.0,4257.0,4348.0,4815.0,4871.0,4732.0,4581.0,4397.0,2499.0,2556.0,2625.0,2668.0,2451.0,14576.0,13668.0,13852.0,14635.0,14094.0,4358.0,4339.0,4130.0,4383.0,3501.0,12828.0,14178.0,14666.0,14520.0,13747.0,1803.0,1579.0,1585.0,1548.0,1350.0,27548.0,26625.0,26964.0,27254,27171.0,2701.0,3399.0,3327.0,2869.0,2032.0,15436.0,14775.0,15169.0,15262.0,12239.0,5289.0,5030.0,5183.0,4997.0,4538.0,5.0,23.0,9.0,5.0,5.0,38.0,38.0,32.0,33.0,35.0,55.0,63.0,57.0,54.0,57.0,19.0,19.0,20.0,21.0,24.0,916.0,915.0,938.0,927.0,941.0,382.0,375.0,378.0,359.0,371.0,172.0,166.0,166.0,168.0,166.0,396.0,398.0,380.0,374.0,377.0,428.0,453.0,457.0,454.0,475.0,1150.0,1137.0,1128.0,1139.0,1107.0,123.0,121.0,116.0,116.0,113.0,554.0,531.0,533.0,530.0,546.0,117.0,113.0,111.0,113.0,111.0,1312.0,1322.0,1331.0,1346,1374.0,159.0,160.0,157.0,157.0,168.0,800.0,774.0,795.0,751.0,746.0,780.0,790.0,786.0,779.0,792.0,5.0,20.0,20.0,15.0,10.0,4493.05,4493.05,4493.05,4477.87,4493.05,61.22,61.22,61.22,61.22,61.22,-149.89,-149.89,-149.89,-149.89,-149.89,2405.0,2354.0,5514.0,6635.0,6952.0,587807.0,617935.0,667442.0,393551.0,371029.0,70987.0,73989.0,77794.0,87993.0,104737.0,802520.0,804955.0,833966.0,851588.0,799865.0,368993.0,380730.0,394541.0,377544.0,364080.0,317244.0,326011.0,341236.0,343134.0,359522.0,370225.0,397547.0,421094.0,405183.0,434587.0,125479.0,127188.0,139695.0,138156.0,133859.0,1123023.0,1109235.0,1133484.0,1201968.0,1182157.0,481663.0,615500.0,625017.0,634635.0,545931.0,655083.0,704072.0,746598.0,756692.0,732863.0,62772.0,43006.0,40693.0,41275.0,50385.0,1656489.0,1707523.0,1784391.0,1805164,1845238.0,50073.0,56304.0,55279.0,46556.0,50521.0,392083.0,393438.0,410903.0,320553.0,388066.0,205725.0,202521.0,208577.0,202273.0,214018.0,65.0,376.0,402.0,452.0,307.0,1.52,1.52,1.48,1.43,1.42,298,296,294,292.0,293.0,3.05,3.02,2.98,3.04,3.09
19,2013,Aleutians East Borough,4.0,2.0,0.0,2.0,6.0,,,,,,12.0,17.0,19.0,9.0,10.0,,,,,,,,,,,,,,,,,,,,,18.0,18.0,9.0,17.0,14.0,,,,,,,,,,,0.0,5.0,5.0,5.0,5.0,,,,,,0.0,59.0,48.0,51,42.0,,,,,,31.0,36.0,20.0,21.0,17.0,2.0,4.0,6.0,5.0,4.0,,,,,,5.0,4.0,5.0,5.0,5.0,,,,,,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,4.0,4.0,4.0,4.0,4.0,,,,,,10.0,9.0,10.0,10,10.0,,,,,,9.0,9.0,9.0,7.0,6.0,3.0,3.0,3.0,3.0,3.0,,,,,,18521.02,18521.02,18521.02,18504.72,18521.02,55.05,55.05,55.05,55.05,55.05,-162.89,-162.89,-162.89,-162.89,-162.89,454.0,359.0,374.0,396.0,427.0,,,,,,819.0,1922.0,896.0,537.0,520.0,,,,,,,,,,,,,,,,,,,,,382.0,435.0,487.0,484.0,442.0,,,,,,,,,,,0.0,355.0,245.0,263.0,343.0,,,,,,0.0,3078.0,2805.0,3515,3218.0,,,,,,410.0,417.0,381.0,283.0,297.0,89.0,106.0,166.0,145.0,117.0,,,,,,0.0,0.0,0.0,0.0,0.0,3,3,3,3.0,3.0,0.0,0.0,0.0,0.0,0.0
20,2068,Denali Borough,,,,,,0.0,119.0,116.0,115.0,113.0,,,,,,23.0,24.0,22.0,22.0,22.0,,,,,,4.0,4.0,3.0,3.0,3.0,,,,,,,,1.0,0.0,3.0,0.0,99.0,405.0,361.0,360.0,,,,,,3.0,9.0,11.0,8.0,7.0,,,,,,11.0,15.0,13.0,12,14.0,12.0,17.0,16.0,17.0,12.0,174.0,172.0,180.0,192.0,161.0,3.0,,3.0,2.0,,,,,,,,,,,,5.0,4.0,4.0,3.0,3.0,,,,,,5.0,5.0,6.0,5.0,7.0,,,,,,3.0,3.0,3.0,3.0,3.0,,,,,,,,3.0,3.0,4.0,4.0,5.0,5.0,5.0,4.0,,,,,,4.0,5.0,4.0,4.0,4.0,,,,,,3.0,3.0,3.0,4,4.0,9.0,12.0,11.0,9.0,12.0,38.0,37.0,38.0,35.0,35.0,3.0,,4.0,3.0,,,,,,,32793.42,32792.79,32791.71,32808.02,32810.61,63.88,63.88,63.88,63.88,63.88,-149.65,-149.65,-149.65,-149.65,-149.65,,,,,,0.0,13344.0,14172.0,14669.0,14768.0,,,,,,1526.0,1401.0,1240.0,1084.0,1665.0,,,,,,96.0,103.0,95.0,93.0,93.0,,,,,,,,72.0,60.0,63.0,0.0,5619.0,33081.0,31802.0,29891.0,,,,,,518.0,784.0,1078.0,594.0,804.0,,,,,,470.0,506.0,431.0,303,679.0,2242.0,2306.0,2029.0,1021.0,2017.0,23553.0,19642.0,24182.0,8063.0,14078.0,65.0,,70.0,43.0,,,,,,,0.0,0.0,0.0,0.0,0.0,2,2,2,3.0,2.0,0.0,0.0,0.0,0.0,0.0
21,2122,Kenai Peninsula Borough,75.0,85.0,92.0,87.0,100.0,761.0,533.0,558.0,516.0,495.0,182.0,182.0,191.0,185.0,196.0,865.0,855.0,957.0,1010.0,996.0,345.0,334.0,310.0,318.0,328.0,248.0,229.0,219.0,207.0,194.0,276.0,309.0,292.0,283.0,284.0,255.0,258.0,293.0,298.0,296.0,461.0,489.0,558.0,581.0,600.0,104.0,69.0,68.0,56.0,52.0,334.0,320.0,356.0,365.0,408.0,191.0,193.0,199.0,195.0,206.0,4075.0,4008.0,4035.0,3967,4078.0,201.0,203.0,183.0,192.0,190.0,1762.0,1760.0,1849.0,1753.0,1610.0,707.0,761.0,762.0,753.0,756.0,3.0,2.0,3.0,1.0,,112.0,110.0,107.0,115.0,116.0,19.0,17.0,18.0,17.0,17.0,9.0,10.0,10.0,10.0,10.0,269.0,272.0,285.0,277.0,287.0,58.0,59.0,59.0,60.0,59.0,28.0,28.0,28.0,28.0,28.0,58.0,62.0,65.0,63.0,61.0,75.0,81.0,82.0,89.0,102.0,130.0,133.0,136.0,141.0,136.0,5.0,5.0,5.0,4.0,4.0,90.0,82.0,81.0,85.0,96.0,22.0,25.0,26.0,30.0,30.0,253.0,254.0,265.0,266,263.0,72.0,73.0,71.0,71.0,76.0,289.0,294.0,297.0,288.0,300.0,194.0,205.0,205.0,195.0,198.0,5.0,5.0,6.0,7.0,,42552.09,42552.09,42552.09,42523.95,42552.09,60.1,60.1,60.1,60.1,60.1,-151.79,-151.79,-151.79,-151.79,-151.79,6548.0,6778.0,7631.0,7640.0,9592.0,91636.0,59191.0,64394.0,61772.0,66354.0,20906.0,21664.0,23097.0,23908.0,25032.0,57435.0,65271.0,69382.0,65291.0,73720.0,23558.0,19333.0,18786.0,18744.0,19915.0,12022.0,12371.0,12342.0,12613.0,13262.0,16736.0,18487.0,19143.0,20220.0,20239.0,14324.0,14009.0,17313.0,16220.0,18447.0,22418.0,24555.0,27043.0,31989.0,34855.0,5145.0,3774.0,1931.0,2099.0,2055.0,19491.0,25264.0,24573.0,25991.0,27326.0,3163.0,3350.0,3726.0,4018.0,4872.0,201227.0,208215.0,210619.0,214692,235393.0,5656.0,6223.0,6051.0,5221.0,7222.0,49684.0,53704.0,55439.0,43485.0,60465.0,22983.0,24266.0,24001.0,23758.0,26597.0,83.0,106.0,91.0,111.0,,0.0,0.0,0.0,0.0,0.0,58,58,58,59.0,59.0,0.0,0.0,0.0,0.0,0.0
